AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,Lille,,,,"4:00pm, Sunday 25th October 2020.",0,0,,431438,,,,,,,,,,,,,,Nice,,, French Ligue 1
,,,,,,,,,,,,,Reims,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431437,,,,,,,,,,,,,,Montpellier,,, French Ligue 1
,,,,,,,,,,,,,Strasbourg,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431432,,,,,,,,,,,,,,Brest,,, French Ligue 1
,,,,,,,,,,,,,Nimes,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431431,,,,,,,,,,,,,,Bordeaux,,, French Ligue 1
,,,,,,,,,,,,,Dijon,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431439,,,,,,,,,,,,,,Paris Saint-Germain,,, French Ligue 1
,,,,,,,,,,,,,Nantes,,,,"12:00pm, Sunday 25th October 2020.",0,0,,431433,,,,,,,,,,,,,,RC Lens,,, French Ligue 1
,,,,,,,,,,,,,Marseille,,,,"4:00pm, Saturday 24th October 2020.",0,0,,431434,,,,,,,,,,,,,,Lorient,,, French Ligue 1
,,,,,,,,,,,,,Angers,,,,"8:00pm, Friday 23rd October 2020.",0,0,,431440,,,,,,,,,,,,,,Rennes,,, French Ligue 1
,,,,,,,,,,,,,Levante,,,,"5:30pm, Sunday 1st November 2020.",0,0,,433847,,,,,,,,,,,,,,Granada,,, Spanish La Liga
,,,,,,,,,,,,,Real Valladolid,,,,"8:00pm, Monday 2nd November 2020.",0,0,,433852,,,,,,,,,,,,,,Villarreal,,, Spanish La Liga
,,,,,,,,,,,,,Getafe,,,,"8:00pm, Sunday 1st November 2020.",0,0,,433851,,,,,,,,,,,,,,Valencia,,, Spanish La Liga
,,,,,,,,,,,,,Real Sociedad,,,,"3:00pm, Sunday 1st November 2020.",0,0,,433845,,,,,,,,,,,,,,Celta Vigo,,, Spanish La Liga
,,,,,,,,,,,,,Lorient,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431442,,,,,,,,,,,,,,Dijon,,, French Ligue 1
,,,,,,,,,,,,,Barcelona,,,,"8:00pm, Saturday 31st October 2020.",0,0,,433843,,,,,,,,,,,,,,Alaves,,, Spanish La Liga
,,,,,,,,,,,,,Elche,,,,"1:00pm, Sunday 1st November 2020.",0,0,,433849,,,,,,,,,,,,,,Real Betis,,, Spanish La Liga
,,,,,,,,,,,,,Atletico Madrid,,,,"5:30pm, Saturday 31st October 2020.",0,0,,433848,,,,,,,,,,,,,,Osasuna,,, Spanish La Liga
,,,,,,,,,,,,,Sevilla,,,,"3:00pm, Saturday 31st October 2020.",0,0,,433844,,,,,,,,,,,,,,Athletic Bilbao,,, Spanish La Liga
,,,,,,,,,,,,,Granada,,,,"5:30pm, Sunday 25th October 2020.",0,0,,433837,,,,,,,,,,,,,,Getafe,,, Spanish La Liga
,,,,,,,,,,,,,Paris Saint-Germain,,,,"8:00pm, Saturday 31st October 2020.",0,0,,431446,,,,,,,,,,,,,,Nantes,,, French Ligue 1
,,,,,,,,,,,,,SD Huesca,,,,"8:00pm, Sunday 25th October 2020.",0,0,,433840,,,,,,,,,,,,,,Real Sociedad,,, Spanish La Liga
,,,,,,,,,,,,,St Etienne,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431436,,,,,,,,,,,,,,Metz,,, French Ligue 1
,,,,,,,,,,,,,Celta Vigo,,,,"8:00pm, Monday 26th October 2020.",0,0,,433838,,,,,,,,,,,,,,Levante,,, Spanish La Liga
,,,,,,,,,,,,,Villarreal,,,,"3:00pm, Sunday 25th October 2020.",0,0,,433835,,,,,,,,,,,,,,Cadiz,,, Spanish La Liga
,,,,,,,,,,,,,SD Huesca,,,,"1:00pm, Saturday 31st October 2020.",0,0,,433850,,,,,,,,,,,,,,Real Madrid,,, Spanish La Liga
,,,,,,,,,,,,,Eibar,,,,"5:30pm, Saturday 24th October 2020.",0,0,,433842,,,,,,,,,,,,,,Sevilla,,, Spanish La Liga
,,,,,,,,,,,,,Cadiz,,,,"8:00pm, Friday 30th October 2020.",0,0,,433846,,,,,,,,,,,,,,Eibar,,, Spanish La Liga
,,,,,,,,,,,,,Alaves,,,,"1:00pm, Sunday 25th October 2020.",0,0,,433841,,,,,,,,,,,,,,Real Valladolid,,, Spanish La Liga
,,,,,,,,,,,,,Athletic Bilbao,,,,"5:30pm, Saturday 24th October 2020.",0,0,,433839,,,,,,,,,,,,,,Osasuna,,, Spanish La Liga
,,,,,,,,,,,,,Real Madrid,,,,"3:00pm, Saturday 24th October 2020.",0,0,,433834,,,,,,,,,,,,,,Barcelona,,, Spanish La Liga
,,,,,,,,,,,,,Real Betis,,,,"8:00pm, Saturday 24th October 2020.",0,0,,433833,,,,,,,,,,,,,,Atletico Madrid,,, Spanish La Liga
,,,,,,,,,,,,,PEC Zwolle,,,,"7:00pm, Friday 6th November 2020.",0,0,,431804,,,,,,,,,,,,,,Fortuna Sittard,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Twente,,,,"3:30pm, Saturday 7th November 2020.",0,0,,431805,,,,,,,,,,,,,,ADO Den Haag,,, Dutch Eredivisie
,,,,,,,,,,,,,Valencia,,,,"8:00pm, Friday 23rd October 2020.",0,0,,433836,,,,,,,,,,,,,,Elche,,, Spanish La Liga
,,,,,,,,,,,,,RKC Waalwijk,,,,"7:00pm, Sunday 1st November 2020.",0,0,,431795,,,,,,,,,,,,,,AZ Alkmaar,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Utrecht,,,,"11:15am, Sunday 1st November 2020.",0,0,,431800,,,,,,,,,,,,,,Heracles Almelo,,, Dutch Eredivisie
,,,,,,,,,,,,,Heerenveen,,,,"1:30pm, Sunday 1st November 2020.",0,0,,431802,,,,,,,,,,,,,,Sparta Rotterdam,,, Dutch Eredivisie
,,,,,,,,,,,,,Feyenoord,,,,"1:30pm, Sunday 1st November 2020.",0,0,,431799,,,,,,,,,,,,,,Emmen,,, Dutch Eredivisie
,,,,,,,,,,,,,ADO Den Haag,,,,"3:45pm, Sunday 1st November 2020.",0,0,,431801,,,,,,,,,,,,,,PSV Eindhoven,,, Dutch Eredivisie
,,,,,,,,,,,,,PEC Zwolle,,,,"5:45pm, Saturday 31st October 2020.",0,0,,431798,,,,,,,,,,,,,,FC Twente,,, Dutch Eredivisie
,,,,,,,,,,,,,VVV-Venlo,,,,"7:00pm, Saturday 31st October 2020.",0,0,,431797,,,,,,,,,,,,,,Groningen,,, Dutch Eredivisie
,,,,,,,,,,,,,AZ Alkmaar,,,,"7:00pm, Sunday 25th October 2020.",0,0,,431786,,,,,,,,,,,,,,ADO Den Haag,,, Dutch Eredivisie
,,,,,,,,,,,,,Fortuna Sittard,,,,"7:00pm, Saturday 31st October 2020.",0,0,,431796,,,,,,,,,,,,,,Ajax,,, Dutch Eredivisie
,,,,,,,,,,,,,PSV Eindhoven,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431794,,,,,,,,,,,,,,Vitesse Arnhem,,, Dutch Eredivisie
,,,,,,,,,,,,,Feyenoord,,,,"3:45pm, Sunday 25th October 2020.",0,0,,431792,,,,,,,,,,,,,,RKC Waalwijk,,, Dutch Eredivisie
,,,,,,,,,,,,,Vitesse Arnhem,,,,"8:00pm, Saturday 31st October 2020.",0,0,,431803,,,,,,,,,,,,,,Willem II,,, Dutch Eredivisie
,,,,,,,,,,,,,Heracles Almelo,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431793,,,,,,,,,,,,,,Sparta Rotterdam,,, Dutch Eredivisie
,,,,,,,,,,,,,Groningen,,,,"11:15am, Sunday 25th October 2020.",0,0,,431790,,,,,,,,,,,,,,Fortuna Sittard,,, Dutch Eredivisie
,,,,,,,,,,,,,Willem II,,,,"7:00pm, Saturday 24th October 2020.",0,0,,431791,,,,,,,,,,,,,,PEC Zwolle,,, Dutch Eredivisie
,,,,,,,,,,,,,Wolfsburg,,,,"5:00pm, Sunday 1st November 2020.",0,0,,427496,,,,,,,,,,,,,,Hertha Berlin,,, German Bundesliga
,,,,,,,,,,,,,Emmen,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431789,,,,,,,,,,,,,,Heerenveen,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Twente,,,,"5:45pm, Saturday 24th October 2020.",0,0,,431787,,,,,,,,,,,,,,FC Utrecht,,, Dutch Eredivisie
,,,,,,,,,,,,,RB Leipzig,,,,"5:30pm, Saturday 31st October 2020.",0,0,,427491,,,,,,,,,,,,,,M'gladbach,,, German Bundesliga
,,,,,,,,,,,,,Bayer Leverkusen,,,,"2:30pm, Sunday 1st November 2020.",0,0,,427497,,,,,,,,,,,,,,SC Freiburg,,, German Bundesliga
,,,,,,,,,,,,,Mainz,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427494,,,,,,,,,,,,,,FC Augsburg,,, German Bundesliga
,,,,,,,,,,,,,Werder Bremen,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427493,,,,,,,,,,,,,,Eintracht Frankfurt,,, German Bundesliga
,,,,,,,,,,,,,Borussia Dortmund,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427492,,,,,,,,,,,,,,Arminia Bielefeld,,, German Bundesliga
,,,,,,,,,,,,,Hoffenheim,,,,"5:00pm, Sunday 25th October 2020.",0,0,,427487,,,,,,,,,,,,,,Werder Bremen,,, German Bundesliga
,,,,,,,,,,,,,Stuttgart,,,,"7:30pm, Friday 30th October 2020.",0,0,,427495,,,,,,,,,,,,,,Schalke,,, German Bundesliga
,,,,,,,,,,,,,Bayern Munich,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427490,,,,,,,,,,,,,,Cologne,,, German Bundesliga
,,,,,,,,,,,,,Arminia Bielefeld,,,,"2:30pm, Sunday 25th October 2020.",0,0,,427489,,,,,,,,,,,,,,Wolfsburg,,, German Bundesliga
,,,,,,,,,,,,,FC Augsburg,,,,"7:30pm, Monday 26th October 2020.",0,0,,427483,,,,,,,,,,,,,,Bayer Leverkusen,,, German Bundesliga
,,,,,,,,,,,,,Hertha Berlin,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427486,,,,,,,,,,,,,,RB Leipzig,,, German Bundesliga
,,,,,,,,,,,,,Schalke,,,,"5:30pm, Saturday 24th October 2020.",0,0,,427484,,,,,,,,,,,,,,Borussia Dortmund,,, German Bundesliga
,,,,,,,,,,,,,M'gladbach,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427482,,,,,,,,,,,,,,Mainz,,, German Bundesliga
,,,,,,,,,,,,,SC Freiburg,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427481,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
,,,,,,,,,,,,,Eintracht Frankfurt,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427485,,,,,,,,,,,,,,Bayern Munich,,, German Bundesliga
,,,,,,,,,,,,,Cologne,,,,"7:30pm, Friday 23rd October 2020.",0,0,,427488,,,,,,,,,,,,,,Stuttgart,,, German Bundesliga
,,,,,,,,,,,,,Celtic,,,,"12:00pm, Sunday 8th November 2020.",0,0,,425644,,,,,,,,,,,,,,Motherwell,,, Scottish Premiership
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Sunday 8th November 2020.",0,0,,425645,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
,,,,,,,,,,,,,Kilmarnock,,,,"7:45pm, Friday 6th November 2020.",0,0,,425647,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
,,,,,,,,,,,,,Dundee United,,,,"7:45pm, Friday 6th November 2020.",0,0,,425648,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
,,,,,,,,,,,,,Livingston,,,,"7:45pm, Friday 6th November 2020.",0,0,,425646,,,,,,,,,,,,,,Ross County,,, Scottish Premiership
,,,,,,,,,,,,,Hibernian,,,,"7:45pm, Friday 6th November 2020.",0,0,,425643,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
,,,,,,,,,,,,,Aberdeen,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425639,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
,,,,,,,,,,,,,Rangers,,,,"12:00pm, Sunday 1st November 2020.",0,0,,425641,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 31st October 2020.",0,0,,425638,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
,,,,,,,,,,,,,Livingston,,,,"3:00pm, Sunday 25th October 2020.",0,0,,425634,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
,,,,,,,,,,,,,St. Johnstone,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425640,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
,,,,,,,,,,,,,St Mirren,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425637,,,,,,,,,,,,,,Celtic,,, Scottish Premiership
,,,,,,,,,,,,,Celtic,,,,"12:00pm, Sunday 25th October 2020.",0,0,,425631,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425636,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
,,,,,,,,,,,,,Dundee United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425635,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
,,,,,,,,,,,,,Hibernian,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425632,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
,,,,,,,,,,,,,Tottenham Hotspur,,,,"8:00pm, Monday 26th October 2020.",0,0,,428890,,,,,,,,,,,,,,Burnley,,, Premier League
,,,,,,,,,,,,,West Bromwich Albion,,,,"5:30pm, Monday 26th October 2020.",0,0,,428889,,,,,,,,,,,,,,Brighton and Hove Albion,,, Premier League
,,,,,,,,,,,,,Crystal Palace,,,,"8:00pm, Friday 30th October 2020.",0,0,,428906,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425633,,,,,,,,,,,,,,Motherwell,,, Scottish Premiership
,,,,,,,,,,,,,Sheffield United,,,,"8:00pm, Saturday 24th October 2020.",0,0,,428892,,,,,,,,,,,,,,Liverpool,,, Premier League
,,,,,,,,,,,,,Leicester City,,,,"7:15pm, Sunday 25th October 2020.",0,0,,428887,,,,,,,,,,,,,,Arsenal,,, Premier League
,,,,,,,,,,,,,Newcastle United,,,,"4:30pm, Sunday 25th October 2020.",0,0,,428896,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
,,,,,,,,,,,,,Everton,,,,"2:00pm, Sunday 25th October 2020.",0,0,,428894,,,,,,,,,,,,,,Southampton,,, Premier League
,,,,,,,,,,,,,Crystal Palace,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428891,,,,,,,,,,,,,,Fulham,,, Premier League
,,,,,,,,,,,,,Manchester City,,,,"12:30pm, Saturday 24th October 2020.",0,0,,428895,,,,,,,,,,,,,,West Ham United,,, Premier League
,,,,,,,,,,,,,Chelsea,,,,"5:30pm, Saturday 24th October 2020.",0,0,,428893,,,,,,,,,,,,,,Manchester United,,, Premier League
,,,,,,,,,,,,,Juventus,,,,"2:00pm, Sunday 1st November 2020.",0,0,,434380,,,,,,,,,,,,,,Spezia,,, Italian Serie A
,,,,,,,,,,,,,Napoli,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434365,,,,,,,,,,,,,,Benevento,,, Italian Serie A
,,,,,,,,,,,,,Southampton,,,,"12:00pm, Sunday 1st November 2020.",0,0,,428897,,,,,,,,,,,,,,Aston Villa,,, Premier League
,,,,,,,,,,,,,Huddersfield Town,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429795,,,,,,,,,,,,,,Birmingham City,,, Sky Bet Championship
,,,,,,,,,,,,,Ajax,,,,"3:30pm, Saturday 24th October 2020.",0,0,,431788,,,,,,,,,,,,,,VVV-Venlo,,, Dutch Eredivisie
,,,,,,,,,,,,,Leicester City,,,,"8:00pm, Monday 2nd November 2020.",0,0,,428900,,,,,,,,,,,,,,Leeds United,,, Premier League
,,,,,,,,,,,,,Bologna,,,,"7:45pm, Saturday 24th October 2020.",0,0,,434370,,,,,,,,,,,,,,Lazio,,, Italian Serie A
,,,,,,,,,,,,,Queens Park Rangers,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429789,,,,,,,,,,,,,,Barnsley,,, Sky Bet Championship
