HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Sampdoria,Benevento,Serie_A,2020-09-26,2,3,1.36,1.27,9,14,3,5,2,5,14.43,8.31,1.43,1.25
Lyon,Dijon,Ligue_1,2020-08-28,4,1,3.97,0.22,27,6,12,2,15,0,6.0,28.6,2.98,0.01
Bayern Munich,Schalke 04,Bundesliga,2020-09-18,8,0,4.62,0.15,21,5,12,1,24,3,6.34,25.33,2.99,0.01
Cagliari,Lazio,Serie_A,2020-09-26,0,2,0.92,1.99,9,16,2,6,0,8,11.15,13.85,0.53,2.25
Real Madrid,Real Valladolid,La_Liga,2020-09-30,1,0,2.65,0.54,15,11,5,5,9,2,11.21,17.74,2.76,0.16
Arsenal Tula,Khimki,RFPL,2020-08-25,1,1,1.39,0.29,27,3,4,2,8,1,7.2,11.2,2.28,0.46
Inter,Fiorentina,Serie_A,2020-09-26,4,3,1.7,2.25,20,10,7,4,17,9,5.22,24.21,0.99,1.79
Arsenal Tula,PFC Sochi,RFPL,2020-09-20,3,2,0.75,1.42,12,13,5,4,4,4,15.67,8.33,0.72,1.98
Marseille,Saint-Etienne,Ligue_1,2020-09-17,0,2,2.65,1.03,13,12,2,5,10,4,8.77,10.17,2.44,0.41
Montpellier,Lyon,Ligue_1,2020-09-15,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
FC Ufa,FC Rostov,RFPL,2020-08-23,0,1,0.51,1.45,5,18,2,6,2,14,13.89,10.93,0.58,2.16
FC Ufa,Spartak Moscow,RFPL,2020-08-19,1,1,0.27,2.85,7,21,2,5,1,17,23.17,6.19,0.07,2.88
Tottenham,Newcastle United,Premier_League,2020-09-27,1,1,3.19,0.94,23,6,12,1,6,4,9.68,35.7,2.75,0.16
Arsenal Tula,Dinamo Moscow,RFPL,2020-08-22,2,0,1.62,0.8,12,7,4,3,4,3,13.0,6.73,2.11,0.62
FC Tambov,PFC Sochi,RFPL,2020-08-25,0,1,0.7,2.17,11,16,1,6,2,5,24.36,14.12,0.31,2.54
Getafe,Real Betis,La_Liga,2020-09-29,3,0,0.91,0.44,8,10,4,2,1,3,13.84,3.58,1.81,0.83
CSKA Moscow,Spartak Moscow,RFPL,2020-09-13,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
Nantes,Saint-Etienne,Ligue_1,2020-09-20,2,2,1.34,1.04,15,6,3,4,8,3,8.0,10.55,1.56,1.05
Newcastle United,Brighton,Premier_League,2020-09-20,0,3,0.52,1.88,6,13,0,6,3,3,11.95,10.84,0.31,2.51
Dinamo Moscow,FC Rotor Volgograd,RFPL,2020-08-15,0,0,1.49,0.13,21,3,3,2,8,3,11.05,14.73,2.57,0.25
Sassuolo,Cagliari,Serie_A,2020-09-20,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
FK Akhmat,CSKA Moscow,RFPL,2020-08-30,0,3,0.82,1.62,19,12,5,8,6,5,9.27,9.23,0.67,2.09
Alaves,Getafe,La_Liga,2020-09-26,0,0,0.87,1.31,9,11,0,4,3,2,6.43,8.69,0.97,1.74
Liverpool,Arsenal,Premier_League,2020-09-28,3,1,2.74,1.18,21,4,8,3,11,3,8.83,35.86,2.43,0.4
FC Ufa,CSKA Moscow,RFPL,2020-09-20,0,1,0.37,2.52,12,23,3,10,2,15,10.57,7.59,0.17,2.73
Lokomotiv Moscow,FC Krasnodar,RFPL,2020-08-15,1,0,1.53,1.45,16,16,9,3,5,13,13.91,6.17,1.4,1.34
Dinamo Moscow,FK Akhmat,RFPL,2020-09-21,1,0,1.14,0.85,22,10,3,4,10,5,5.48,11.5,1.57,1.12
FK Akhmat,Ural,RFPL,2020-09-27,2,0,2.69,0.19,19,4,6,2,8,2,5.43,12.82,2.92,0.05
Torino,Atalanta,Serie_A,2020-09-26,2,4,0.77,2.47,7,19,4,7,3,14,11.72,10.8,0.35,2.49
FC Tambov,Spartak Moscow,RFPL,2020-09-26,0,2,0.51,0.65,9,15,2,4,6,2,12.35,6.5,1.14,1.44
Rubin Kazan,Ural,RFPL,2020-08-15,1,1,2.14,1.42,21,13,6,5,7,5,13.0,8.73,1.92,0.83
Crotone,AC Milan,Serie_A,2020-09-27,0,2,0.11,2.43,5,16,0,6,5,6,9.38,9.73,0.05,2.91
Arminia Bielefeld,FC Cologne,Bundesliga,2020-09-26,1,0,0.16,1.37,7,12,2,2,1,10,10.96,13.1,0.26,2.56
Wolfsburg,Bayer Leverkusen,Bundesliga,2020-09-20,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
FC Tambov,Khimki,RFPL,2020-08-18,1,0,1.33,0.67,5,20,2,3,0,5,14.25,8.22,2.04,0.68
Eibar,Athletic Club,La_Liga,2020-09-27,1,2,0.33,0.51,7,9,1,5,0,5,5.89,7.39,1.05,1.44
Liverpool,Leeds,Premier_League,2020-09-12,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
Lille,Nantes,Ligue_1,2020-09-25,2,0,2.09,0.66,12,12,4,7,9,2,8.0,10.1,2.49,0.35
Spartak Moscow,PFC Sochi,RFPL,2020-08-09,2,2,1.46,2.13,13,15,4,4,9,4,25.0,22.77,0.86,1.9
Elche,Real Sociedad,La_Liga,2020-09-26,0,3,1.24,3.37,5,27,2,7,2,13,23.64,7.62,0.23,2.66
Lyon,Nimes,Ligue_1,2020-09-18,0,0,1.63,0.71,15,10,3,3,10,2,2.91,13.52,2.15,0.61
Sheffield United,Leeds,Premier_League,2020-09-27,0,1,1.53,1.47,15,17,5,9,11,2,11.55,8.94,1.45,1.28
Spezia,Sassuolo,Serie_A,2020-09-27,1,4,1.29,2.65,12,17,5,6,6,16,27.94,7.26,0.53,2.28
Monaco,Strasbourg,Ligue_1,2020-09-27,3,2,1.56,1.41,11,11,5,5,6,3,9.09,16.1,1.46,1.25
Roma,Juventus,Serie_A,2020-09-27,2,2,2.82,1.91,11,8,5,3,6,3,13.38,9.24,2.05,0.73
Real Betis,Real Valladolid,La_Liga,2020-09-20,2,0,1.77,0.29,16,9,6,2,1,2,6.83,9.04,2.6,0.25
Manchester City,Leicester,Premier_League,2020-09-27,2,5,1.45,2.87,16,7,5,7,5,3,5.33,25.08,0.42,2.43
Verona,Udinese,Serie_A,2020-09-27,1,0,1.35,2.15,13,22,2,5,5,5,5.81,7.3,0.82,1.95
Valencia,Levante,La_Liga,2020-09-13,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
Benevento,Inter,Serie_A,2020-09-30,2,5,1.25,4.53,11,18,6,8,2,12,21.35,7.32,0.06,2.9
Lazio,Atalanta,Serie_A,2020-09-30,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
West Bromwich Albion,Leicester,Premier_League,2020-09-13,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
PFC Sochi,FC Krasnodar,RFPL,2020-09-26,1,1,1.03,1.39,7,26,2,9,1,17,16.73,4.64,1.1,1.59
Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
Spartak Moscow,Lokomotiv Moscow,RFPL,2020-08-23,2,1,1.56,0.71,17,9,8,3,10,4,6.6,8.87,2.05,0.7
Marseille,Lille,Ligue_1,2020-09-20,1,1,0.87,1.49,11,14,2,7,5,7,8.12,11.46,0.81,1.9
Nice,Lens,Ligue_1,2020-08-23,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
Montpellier,Nice,Ligue_1,2020-09-12,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
FC Tambov,FC Ufa,RFPL,2020-09-12,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
Rennes,Monaco,Ligue_1,2020-09-19,2,1,0.86,0.82,14,14,3,2,3,2,13.8,20.53,1.35,1.29
Dinamo Moscow,FC Rostov,RFPL,2020-08-19,2,0,1.15,0.42,6,11,3,1,5,7,13.26,4.89,2.18,0.54
Khimki,FK Akhmat,RFPL,2020-08-22,1,2,1.48,1.52,13,17,5,6,8,8,11.67,4.13,1.3,1.38
Zenit St. Petersburg,FC Ufa,RFPL,2020-09-26,6,0,2.82,0.46,23,6,8,4,16,5,31.57,32.27,2.79,0.13
FK Akhmat,PFC Sochi,RFPL,2020-09-12,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
Burnley,Southampton,Premier_League,2020-09-26,0,1,0.35,0.71,9,5,2,1,9,6,8.21,13.75,0.87,1.71
Fulham,Aston Villa,Premier_League,2020-09-28,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
FC Krasnodar,CSKA Moscow,RFPL,2020-08-26,1,1,0.9,0.83,18,18,7,10,14,8,10.24,8.61,1.39,1.27
Sheffield United,Wolverhampton Wanderers,Premier_League,2020-09-14,0,2,0.95,1.61,9,11,2,4,10,3,8.23,31.33,0.8,1.91
Dinamo Moscow,Rubin Kazan,RFPL,2020-09-13,0,1,0.6,1.59,15,16,3,6,2,3,8.0,6.86,0.53,2.23
Lorient,Lyon,Ligue_1,2020-09-27,1,1,0.3,0.82,4,19,2,6,4,11,17.95,12.33,0.78,1.82
Genoa,Crotone,Serie_A,2020-09-20,4,1,2.23,1.32,14,13,6,3,4,4,8.94,9.42,2.04,0.75
PFC Sochi,Ural,RFPL,2020-08-30,0,0,0.41,0.65,13,10,1,2,5,5,11.57,14.06,1.03,1.53
CSKA Moscow,Lokomotiv Moscow,RFPL,2020-09-27,0,1,1.38,2.01,21,15,4,6,11,12,13.67,10.58,0.89,1.86
Juventus,Sampdoria,Serie_A,2020-09-20,3,0,2.14,0.61,20,15,8,1,10,1,6.79,21.65,2.55,0.3
FC Rotor Volgograd,Spartak Moscow,RFPL,2020-08-26,0,1,0.95,2.82,12,22,6,6,1,15,17.0,3.4,0.25,2.63
Celta Vigo,Valencia,La_Liga,2020-09-19,2,1,2.34,0.46,23,9,6,3,8,2,9.41,8.82,2.69,0.2
Rubin Kazan,FC Tambov,RFPL,2020-08-30,2,2,2.1,0.73,15,7,8,3,11,2,11.41,15.83,2.39,0.43
FC Rotor Volgograd,Rubin Kazan,RFPL,2020-09-27,1,3,0.76,3.13,7,27,2,7,4,15,22.92,4.89,0.16,2.75
FC Cologne,Hoffenheim,Bundesliga,2020-09-19,2,3,2.41,2.9,13,13,6,7,5,10,11.91,11.54,0.99,1.76
Lorient,Strasbourg,Ligue_1,2020-08-23,3,1,3.07,0.33,10,7,7,1,2,4,7.17,17.4,2.92,0.05
Schalke 04,Werder Bremen,Bundesliga,2020-09-26,1,3,1.68,3.1,17,17,4,7,3,4,3.95,9.47,0.49,2.34
Monaco,Nantes,Ligue_1,2020-09-13,2,1,2.27,1.11,18,7,5,2,8,5,9.07,17.0,2.15,0.64
Aston Villa,Sheffield United,Premier_League,2020-09-21,1,0,0.81,0.85,18,4,2,1,17,2,4.45,17.64,1.16,1.46
Spartak Moscow,Arsenal Tula,RFPL,2020-08-29,2,1,1.01,0.45,7,5,3,2,3,1,4.48,12.71,1.89,0.76
VfB Stuttgart,Freiburg,Bundesliga,2020-09-19,2,3,2.16,2.07,26,7,7,6,12,4,7.62,12.11,1.41,1.35
Union Berlin,Augsburg,Bundesliga,2020-09-19,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
Leicester,Burnley,Premier_League,2020-09-20,4,2,0.99,1.52,14,16,6,5,14,6,7.47,16.1,0.95,1.78
Angers,Bordeaux,Ligue_1,2020-08-30,0,2,0.51,2.29,12,7,2,7,6,2,8.32,7.97,0.24,2.63
Arsenal Tula,FK Akhmat,RFPL,2020-08-09,0,0,0.81,0.45,6,10,1,2,6,4,7.73,9.31,1.73,0.88
Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
Angers,Brest,Ligue_1,2020-09-27,3,2,1.12,2.36,12,14,5,6,3,7,8.5,7.75,0.54,2.27
Zenit St. Petersburg,CSKA Moscow,RFPL,2020-08-19,2,1,1.18,0.68,16,13,7,4,22,7,12.43,15.79,1.78,0.91
Marseille,Metz,Ligue_1,2020-09-26,1,1,0.86,1.11,17,14,3,3,7,0,5.32,18.95,1.13,1.56
Alaves,Real Betis,La_Liga,2020-09-13,0,1,1.18,0.34,7,11,2,4,1,4,8.56,9.94,2.37,0.4
Nimes,Brest,Ligue_1,2020-08-23,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
Strasbourg,Nice,Ligue_1,2020-08-29,0,2,0.23,1.21,6,3,0,2,4,1,16.28,12.76,0.33,2.45
Crystal Palace,Everton,Premier_League,2020-09-26,1,2,0.44,2.27,8,10,1,5,4,3,12.03,7.3,0.19,2.7
FC Rotor Volgograd,PFC Sochi,RFPL,2020-08-22,1,2,0.65,1.54,13,17,2,8,4,8,10.24,15.21,0.64,2.11
Manchester United,Crystal Palace,Premier_League,2020-09-19,1,3,1.1,1.91,17,14,4,5,9,4,3.31,13.59,0.75,2.02
West Ham,Wolverhampton Wanderers,Premier_League,2020-09-27,4,0,3.06,0.39,15,11,7,2,1,4,21.76,8.19,2.87,0.08
Dijon,Brest,Ligue_1,2020-09-13,0,2,0.3,2.2,7,19,3,5,5,4,11.43,9.97,0.18,2.71
FC Krasnodar,FC Rostov,RFPL,2020-08-30,1,1,1.55,0.63,23,14,7,4,21,6,6.76,11.26,2.12,0.64
FC Rotor Volgograd,Zenit St. Petersburg,RFPL,2020-08-11,0,2,0.29,1.99,11,16,5,4,2,7,20.4,7.65,0.19,2.7
Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
Verona,Roma,Serie_A,2020-09-19,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
Bordeaux,Nice,Ligue_1,2020-09-27,0,0,1.18,0.65,18,13,5,2,5,9,17.71,10.26,1.82,0.87
Rubin Kazan,FC Ufa,RFPL,2020-08-26,3,0,3.45,0.39,20,12,11,3,7,2,13.82,23.45,2.94,0.03
Real Sociedad,Real Madrid,La_Liga,2020-09-20,0,0,0.72,0.77,6,16,1,4,4,7,13.24,7.0,1.26,1.37
Werder Bremen,Hertha Berlin,Bundesliga,2020-09-19,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
Spartak Moscow,FK Akhmat,RFPL,2020-08-14,2,0,2.59,0.35,19,7,4,3,9,4,3.69,13.16,2.84,0.1
Bayer Leverkusen,RasenBallsport Leipzig,Bundesliga,2020-09-26,1,1,0.91,1.2,11,7,4,2,5,3,6.77,12.48,1.08,1.59
Osasuna,Levante,La_Liga,2020-09-27,1,3,0.72,2.99,8,11,4,5,1,8,9.87,6.0,0.13,2.79
Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
FC Krasnodar,Arsenal Tula,RFPL,2020-08-18,2,0,1.95,0.66,14,11,7,4,9,2,6.0,11.33,2.42,0.39
Dijon,Angers,Ligue_1,2020-08-22,0,1,0.74,2.02,9,12,1,4,5,6,22.0,24.13,0.42,2.38
Strasbourg,Dijon,Ligue_1,2020-09-20,1,0,2.38,0.49,17,5,6,2,10,5,13.45,20.18,2.68,0.21
Borussia M.Gladbach,Union Berlin,Bundesliga,2020-09-26,1,1,1.48,0.77,14,14,6,2,1,3,11.05,14.18,1.96,0.78
Eibar,Celta Vigo,La_Liga,2020-09-12,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
Paris Saint Germain,Marseille,Ligue_1,2020-09-13,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
Villarreal,Eibar,La_Liga,2020-09-19,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
Dinamo Moscow,Zenit St. Petersburg,RFPL,2020-08-26,1,0,0.15,0.74,6,18,2,4,1,10,17.31,10.83,0.68,1.87
Real Valladolid,Real Sociedad,La_Liga,2020-09-13,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
Leeds,Fulham,Premier_League,2020-09-19,4,3,1.45,1.56,10,14,7,6,5,4,7.62,9.42,1.26,1.43
Augsburg,Borussia Dortmund,Bundesliga,2020-09-26,2,0,1.45,1.53,6,18,4,6,2,13,27.94,5.05,1.32,1.4
Fiorentina,Torino,Serie_A,2020-09-19,1,0,2.35,0.62,16,6,5,3,9,2,9.47,6.86,2.62,0.25
Arsenal Tula,FC Rostov,RFPL,2020-09-27,2,3,0.79,1.78,15,8,4,5,4,1,4.0,10.93,0.56,2.22
CSKA Moscow,FC Tambov,RFPL,2020-08-15,2,1,1.15,0.91,12,12,4,6,8,4,12.21,28.6,1.58,1.11
Tottenham,Everton,Premier_League,2020-09-13,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
Zenit St. Petersburg,FC Tambov,RFPL,2020-08-22,4,1,3.73,0.3,25,6,10,4,13,2,8.62,29.44,2.96,0.03
Khimki,FC Rotor Volgograd,RFPL,2020-08-29,1,1,1.32,0.56,17,8,3,2,5,2,7.82,12.89,2.01,0.7
Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
Arsenal,West Ham,Premier_League,2020-09-19,2,1,1.33,2.06,7,14,3,3,16,4,12.76,18.26,0.82,1.94
Freiburg,Wolfsburg,Bundesliga,2020-09-27,1,1,0.92,0.41,19,8,7,2,2,6,7.83,11.17,1.79,0.83
Brighton,Manchester United,Premier_League,2020-09-26,2,3,2.98,1.58,18,7,5,3,10,6,6.64,11.13,2.34,0.48
AC Milan,Bologna,Serie_A,2020-09-21,2,0,2.94,0.83,17,13,5,4,6,3,9.26,13.5,2.67,0.23
Reims,Paris Saint Germain,Ligue_1,2020-09-27,0,2,0.21,3.94,8,21,3,7,6,26,26.77,11.2,0.03,2.96
CSKA Moscow,Rubin Kazan,RFPL,2020-08-22,1,2,0.87,0.92,20,14,7,6,8,7,8.83,13.12,1.29,1.38
Atletico Madrid,Granada,La_Liga,2020-09-27,6,1,3.6,1.31,17,11,10,6,14,4,6.93,9.9,2.7,0.2
Monaco,Reims,Ligue_1,2020-08-23,2,2,2.68,1.83,22,9,5,3,14,3,3.79,21.19,1.94,0.86
Metz,Reims,Ligue_1,2020-09-20,2,1,1.71,1.18,14,10,4,4,3,6,4.76,14.25,1.84,0.86
Southampton,Tottenham,Premier_League,2020-09-20,2,5,2.28,2.28,14,9,7,6,4,3,8.67,10.78,1.34,1.39
Ural,Lokomotiv Moscow,RFPL,2020-08-19,1,1,0.58,2.72,5,21,1,8,4,10,15.36,17.67,0.18,2.73
Everton,West Bromwich Albion,Premier_League,2020-09-19,5,2,4.16,0.32,17,6,7,4,6,6,9.1,41.5,2.99,0.0
Saint-Etienne,Lorient,Ligue_1,2020-08-30,2,0,1.39,0.21,13,6,5,1,2,1,9.13,6.7,2.43,0.35
Brest,Lorient,Ligue_1,2020-09-20,3,2,1.21,1.5,14,9,6,4,10,1,6.08,15.05,1.11,1.6
Montpellier,Angers,Ligue_1,2020-09-20,4,1,1.94,0.77,14,14,9,3,4,5,17.95,17.17,2.25,0.55
Wolverhampton Wanderers,Manchester City,Premier_League,2020-09-21,1,3,0.73,2.08,10,14,1,9,3,9,30.71,7.6,0.42,2.41
West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
Lokomotiv Moscow,Zenit St. Petersburg,RFPL,2020-08-30,0,0,0.3,0.61,7,9,1,0,8,11,12.29,11.12,0.91,1.62
FC Tambov,FC Rostov,RFPL,2020-08-08,0,1,0.3,0.77,9,7,1,5,3,3,14.65,10.05,0.75,1.85
Real Sociedad,Valencia,La_Liga,2020-09-29,0,1,0.59,0.84,11,9,3,5,12,4,7.19,11.33,1.01,1.61
Lille,Metz,Ligue_1,2020-09-13,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
Nimes,Lens,Ligue_1,2020-09-27,1,1,0.37,1.37,13,15,4,6,5,6,12.5,10.59,0.52,2.22
Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
Valencia,SD Huesca,La_Liga,2020-09-26,1,1,0.31,1.11,5,17,2,4,3,3,11.63,4.83,0.6,2.07
Mainz 05,VfB Stuttgart,Bundesliga,2020-09-26,1,4,1.04,2.97,12,15,2,7,3,8,11.26,9.88,0.26,2.62
FC Rostov,Ural,RFPL,2020-08-26,1,0,0.74,0.16,12,6,2,1,4,3,10.71,12.82,1.92,0.65
Lille,Rennes,Ligue_1,2020-08-22,1,1,0.4,1.3,5,16,1,3,1,6,16.5,23.07,0.54,2.18
Rubin Kazan,Lokomotiv Moscow,RFPL,2020-08-11,0,2,1.53,1.17,14,12,3,5,3,9,18.65,9.22,1.68,1.02
FC Rostov,Lokomotiv Moscow,RFPL,2020-09-14,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
Lokomotiv Moscow,FK Akhmat,RFPL,2020-08-26,2,3,1.93,1.24,17,10,5,5,11,9,5.91,9.12,1.91,0.84
Barcelona,Villarreal,La_Liga,2020-09-27,4,0,3.51,0.24,17,5,9,1,17,6,14.95,19.15,2.95,0.03
Rennes,Montpellier,Ligue_1,2020-08-29,2,1,1.79,0.49,16,11,7,3,7,2,5.11,13.27,2.35,0.45
