HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Hertha Berlin,Eintracht Frankfurt,Bundesliga,2020-09-25,1,3,1.56,1.62,12,11,6,3,3,6,13.44,15.8,1.31,1.39
Juventus,Verona,Serie_A,2020-10-25,1,1,2.18,0.6,22,6,6,2,14,7,8.38,12.19,2.47,0.37
West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
Lokomotiv Moscow,FC Tambov,RFPL,2020-09-20,1,0,1.21,0.18,11,5,6,2,5,4,8.35,12.89,2.35,0.39
Schalke 04,Union Berlin,Bundesliga,2020-10-18,1,1,0.25,0.83,8,11,4,6,1,2,12.8,21.33,0.67,1.94
Everton,West Bromwich Albion,Premier_League,2020-09-19,5,2,4.16,0.32,17,6,7,4,6,6,9.1,41.5,2.99,0.0
FC Tambov,Arsenal Tula,RFPL,2020-10-03,1,1,2.19,0.35,16,11,6,5,8,3,7.16,10.73,2.71,0.19
Rubin Kazan,FK Akhmat,RFPL,2020-10-04,1,1,0.95,0.98,10,8,5,2,8,11,7.69,6.8,1.25,1.37
Marseille,Saint-Etienne,Ligue_1,2020-09-17,0,2,2.65,1.03,13,12,2,5,10,4,8.77,10.17,2.44,0.41
Aston Villa,Liverpool,Premier_League,2020-10-04,7,2,3.08,1.66,18,14,11,8,7,18,14.6,4.76,2.26,0.58
Monaco,Reims,Ligue_1,2020-08-23,2,2,2.68,1.83,22,9,5,3,14,3,3.79,21.19,1.94,0.86
Arsenal,Sheffield United,Premier_League,2020-10-04,2,1,0.67,0.14,6,6,5,2,4,3,13.92,19.35,1.89,0.66
VfB Stuttgart,FC Cologne,Bundesliga,2020-10-23,1,1,0.72,2.38,9,15,4,4,4,3,11.95,16.9,0.29,2.58
Mainz 05,Bayer Leverkusen,Bundesliga,2020-10-17,0,1,0.21,0.45,6,9,0,5,3,2,8.68,14.53,0.94,1.5
Arsenal,Leicester,Premier_League,2020-10-25,0,1,0.74,0.74,12,6,4,2,5,2,11.0,26.21,1.27,1.35
Lens,Bordeaux,Ligue_1,2020-09-19,2,1,3.02,0.36,19,7,5,3,6,2,10.0,11.76,2.87,0.08
Leeds,Manchester City,Premier_League,2020-10-03,1,1,2.57,1.42,12,23,7,2,5,10,7.83,11.38,2.16,0.66
Alaves,Elche,La_Liga,2020-10-18,0,2,0.91,0.9,13,7,2,3,9,1,9.43,12.32,1.31,1.34
SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
Inter,Fiorentina,Serie_A,2020-09-26,4,3,1.7,2.25,20,10,7,4,17,9,5.22,24.21,0.99,1.79
Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
Elche,Valencia,La_Liga,2020-10-23,2,1,0.17,1.24,3,14,2,4,1,8,15.83,11.41,0.33,2.43
Lazio,Bologna,Serie_A,2020-10-24,2,1,1.43,1.76,10,21,3,5,3,9,9.21,8.97,1.13,1.61
Eintracht Frankfurt,Hoffenheim,Bundesliga,2020-10-03,2,1,3.57,0.77,16,12,8,4,10,6,12.27,17.6,2.88,0.08
Real Valladolid,Alaves,La_Liga,2020-10-25,0,2,0.31,2.31,5,14,1,4,5,4,19.38,11.33,0.13,2.79
Elche,Real Sociedad,La_Liga,2020-09-26,0,3,1.24,3.37,5,27,2,7,2,13,23.64,7.62,0.23,2.66
Bayern Munich,Hertha Berlin,Bundesliga,2020-10-04,4,3,3.99,1.25,22,10,9,5,11,1,4.13,12.17,2.82,0.13
Roma,Juventus,Serie_A,2020-09-27,2,2,2.82,1.91,11,8,5,3,6,3,13.38,9.24,2.05,0.73
Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
West Bromwich Albion,Burnley,Premier_League,2020-10-19,0,0,0.73,1.09,13,9,6,4,3,2,8.25,13.32,0.99,1.68
Eibar,Athletic Club,La_Liga,2020-09-27,1,2,0.33,0.51,7,9,1,5,0,5,5.89,7.39,1.05,1.44
Nimes,Brest,Ligue_1,2020-08-23,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
Bordeaux,Nimes,Ligue_1,2020-10-25,2,0,1.93,0.71,20,8,6,4,5,5,12.26,11.03,2.33,0.47
Sevilla,Levante,La_Liga,2020-10-01,1,0,1.05,0.38,16,3,2,1,8,0,6.5,13.08,1.95,0.71
Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
Fulham,Arsenal,Premier_League,2020-09-12,0,3,0.13,2.16,5,13,2,6,0,11,32.69,21.93,0.06,2.89
Leeds,Wolverhampton Wanderers,Premier_League,2020-10-19,0,1,1.08,0.62,13,7,2,3,14,2,5.5,12.0,1.75,0.91
Mainz 05,VfB Stuttgart,Bundesliga,2020-09-26,1,4,1.04,2.97,12,15,2,7,3,8,11.26,9.88,0.26,2.62
Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
Udinese,Roma,Serie_A,2020-10-03,0,1,1.67,0.76,10,13,4,3,2,4,16.11,8.1,2.11,0.65
Lorient,Strasbourg,Ligue_1,2020-08-23,3,1,3.07,0.33,10,7,7,1,2,4,7.17,17.4,2.92,0.05
Crystal Palace,Brighton,Premier_League,2020-10-18,1,1,0.76,1.09,1,20,1,3,1,7,13.59,6.39,1.1,1.53
Lille,Rennes,Ligue_1,2020-08-22,1,1,0.4,1.3,5,16,1,3,1,6,16.5,23.07,0.54,2.18
Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
Manchester United,Tottenham,Premier_League,2020-10-04,1,6,0.87,3.3,5,22,2,8,3,8,19.88,6.68,0.13,2.79
SD Huesca,Real Valladolid,La_Liga,2020-10-18,2,2,1.25,0.91,12,5,7,3,2,0,9.91,10.09,1.61,1.05
Hoffenheim,Bayern Munich,Bundesliga,2020-09-27,4,1,2.52,1.17,17,16,8,4,6,11,13.12,5.82,2.31,0.52
Union Berlin,Freiburg,Bundesliga,2020-10-24,1,1,1.28,0.27,18,8,7,4,1,1,13.82,10.64,2.35,0.41
PFC Sochi,Ural,RFPL,2020-08-30,0,0,0.41,0.65,13,10,1,2,5,5,11.57,14.06,1.03,1.53
Atalanta,Cagliari,Serie_A,2020-10-04,5,2,3.61,0.66,21,12,12,3,15,6,10.45,15.32,2.88,0.07
Inter,AC Milan,Serie_A,2020-10-17,1,2,2.55,2.06,19,11,6,4,14,4,6.82,8.79,1.71,1.05
Nice,Lens,Ligue_1,2020-08-23,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
RasenBallsport Leipzig,Mainz 05,Bundesliga,2020-09-20,3,1,3.23,1.07,23,9,10,1,14,2,6.19,29.59,2.63,0.25
Real Betis,Real Sociedad,La_Liga,2020-10-18,0,3,0.3,1.58,7,8,1,5,0,5,10.5,10.77,0.29,2.54
Lorient,Marseille,Ligue_1,2020-10-24,0,1,0.85,0.88,12,15,3,3,2,4,9.78,4.82,1.31,1.35
Brest,Marseille,Ligue_1,2020-08-30,2,3,2.13,1.32,19,7,4,4,11,3,6.34,14.33,1.99,0.77
Manchester United,Crystal Palace,Premier_League,2020-09-19,1,3,1.1,1.91,17,14,4,5,9,4,3.31,13.59,0.75,2.02
RasenBallsport Leipzig,Schalke 04,Bundesliga,2020-10-03,4,0,3.26,0.22,21,5,7,1,10,0,4.04,42.67,2.94,0.04
Fulham,Aston Villa,Premier_League,2020-09-28,0,3,0.53,2.03,16,12,3,5,5,10,5.96,9.3,0.37,2.46
Nice,Lille,Ligue_1,2020-10-25,1,1,0.87,0.89,8,12,3,4,3,5,13.17,13.55,1.31,1.34
Real Valladolid,Celta Vigo,La_Liga,2020-09-27,1,1,1.52,1.08,10,5,4,1,3,3,4.08,6.58,1.73,0.96
Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
FC Rotor Volgograd,Rubin Kazan,RFPL,2020-09-27,1,3,0.76,3.13,7,27,2,7,4,15,22.92,4.89,0.16,2.75
Crystal Palace,Everton,Premier_League,2020-09-26,1,2,0.44,2.27,8,10,1,5,4,3,12.03,7.3,0.19,2.7
Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
Manchester City,Leicester,Premier_League,2020-09-27,2,5,1.45,2.87,16,7,5,7,5,3,5.33,25.08,0.42,2.43
Bordeaux,Nice,Ligue_1,2020-09-27,0,0,1.18,0.65,18,13,5,2,5,9,17.71,10.26,1.82,0.87
CSKA Moscow,Spartak Moscow,RFPL,2020-09-13,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
Freiburg,Werder Bremen,Bundesliga,2020-10-17,1,1,1.06,1.66,20,13,4,4,14,2,9.05,13.52,0.86,1.88
FC Ufa,FC Krasnodar,RFPL,2020-08-09,0,3,0.32,2.15,5,24,2,11,5,14,24.14,4.96,0.16,2.74
Lazio,Atalanta,Serie_A,2020-09-30,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
Osasuna,Levante,La_Liga,2020-09-27,1,3,0.72,2.99,8,11,4,5,1,8,9.87,6.0,0.13,2.79
Spezia,Sassuolo,Serie_A,2020-09-27,1,4,1.29,2.65,12,17,5,6,6,16,27.94,7.26,0.53,2.28
Newcastle United,Manchester United,Premier_League,2020-10-17,1,4,0.87,2.22,7,28,4,14,3,12,12.14,6.06,0.42,2.38
Sampdoria,Lazio,Serie_A,2020-10-17,3,0,1.83,0.45,12,10,7,0,8,8,14.4,12.65,2.49,0.34
Crotone,Juventus,Serie_A,2020-10-17,1,1,1.4,1.58,10,11,3,2,7,5,12.04,11.18,1.14,1.5
Real Madrid,Real Valladolid,La_Liga,2020-09-30,1,0,2.65,0.54,15,11,5,5,9,2,11.21,17.74,2.76,0.16
Alaves,Getafe,La_Liga,2020-09-26,0,0,0.87,1.31,9,11,0,4,3,2,6.43,8.69,0.97,1.74
Zenit St. Petersburg,PFC Sochi,RFPL,2020-10-17,3,1,1.13,1.0,10,10,6,3,5,7,17.36,15.18,1.45,1.22
Monaco,Montpellier,Ligue_1,2020-10-18,1,1,1.8,0.11,21,3,7,2,19,0,2.37,35.88,2.76,0.13
Wolfsburg,Augsburg,Bundesliga,2020-10-04,0,0,1.32,1.81,19,8,6,1,7,4,6.28,15.13,0.93,1.82
Rubin Kazan,FC Ufa,RFPL,2020-08-26,3,0,3.45,0.39,20,12,11,3,7,2,13.82,23.45,2.94,0.03
FC Cologne,Eintracht Frankfurt,Bundesliga,2020-10-18,1,1,1.42,1.55,9,17,5,4,4,10,7.53,8.81,1.23,1.47
Newcastle United,Burnley,Premier_League,2020-10-03,3,1,1.96,0.44,10,7,5,3,4,10,20.75,9.42,2.61,0.25
FC Krasnodar,Khimki,RFPL,2020-09-18,7,2,5.32,0.98,28,6,16,2,25,2,7.17,21.0,2.97,0.02
Strasbourg,Dijon,Ligue_1,2020-09-20,1,0,2.38,0.49,17,5,6,2,10,5,13.45,20.18,2.68,0.21
Leicester,Aston Villa,Premier_League,2020-10-18,0,1,0.67,0.87,11,10,5,4,4,7,8.75,9.22,1.11,1.53
Genoa,Inter,Serie_A,2020-10-24,0,2,0.01,1.64,1,14,0,4,0,8,16.64,6.76,0.12,2.76
Ural,CSKA Moscow,RFPL,2020-10-03,0,2,0.31,0.97,8,12,1,3,6,12,9.35,28.22,0.68,1.96
Lille,Metz,Ligue_1,2020-09-13,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
Ural,FC Krasnodar,RFPL,2020-08-22,1,0,1.24,1.35,12,15,4,6,4,9,24.0,8.71,1.26,1.45
Lille,Nantes,Ligue_1,2020-09-25,2,0,2.09,0.66,12,12,4,7,9,2,8.0,10.1,2.49,0.35
Manchester City,Arsenal,Premier_League,2020-10-17,1,0,1.43,0.84,13,11,5,3,7,3,13.52,20.35,1.87,0.84
Wolfsburg,Bayer Leverkusen,Bundesliga,2020-09-20,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
Reims,Lorient,Ligue_1,2020-10-17,1,3,0.27,2.81,6,14,3,4,3,4,9.56,5.81,0.04,2.94
Lyon,Nimes,Ligue_1,2020-09-18,0,0,1.63,0.71,15,10,3,3,10,2,2.91,13.52,2.15,0.61
Athletic Club,Cadiz,La_Liga,2020-10-01,0,1,0.55,0.26,13,3,4,1,5,4,4.4,11.57,1.55,0.94
Everton,Brighton,Premier_League,2020-10-03,4,2,2.34,1.17,11,11,6,3,10,7,9.06,9.17,2.26,0.53
Bordeaux,Dijon,Ligue_1,2020-10-04,3,0,1.5,0.24,17,5,7,1,2,2,9.26,13.12,2.47,0.33
FC Rostov,Lokomotiv Moscow,RFPL,2020-09-14,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
Union Berlin,Mainz 05,Bundesliga,2020-10-02,4,0,2.07,0.19,11,5,7,0,1,2,11.08,13.35,2.72,0.17
Borussia M.Gladbach,Wolfsburg,Bundesliga,2020-10-17,1,1,2.11,1.34,13,15,2,6,6,4,8.13,9.37,1.98,0.79
Zenit St. Petersburg,Rubin Kazan,RFPL,2020-10-24,1,2,1.05,0.97,8,9,2,2,8,2,5.1,20.93,1.41,1.26
West Bromwich Albion,Leicester,Premier_League,2020-09-13,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
Udinese,Spezia,Serie_A,2020-09-30,0,2,1.87,0.81,13,4,3,2,11,0,14.13,12.94,2.21,0.56
Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
CSKA Moscow,Arsenal Tula,RFPL,2020-10-26,5,1,2.66,0.84,23,6,8,2,21,4,8.33,17.73,2.6,0.26
Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
Augsburg,RasenBallsport Leipzig,Bundesliga,2020-10-17,0,2,0.55,2.4,5,15,2,5,1,19,23.47,6.22,0.21,2.67
Real Betis,Real Valladolid,La_Liga,2020-09-20,2,0,1.77,0.29,16,9,6,2,1,2,6.83,9.04,2.6,0.25
Sevilla,Eibar,La_Liga,2020-10-24,0,1,1.99,0.2,21,3,3,1,5,2,5.17,15.63,2.74,0.15
Burnley,Southampton,Premier_League,2020-09-26,0,1,0.35,0.71,9,5,2,1,9,6,8.21,13.75,0.87,1.71
Marseille,Metz,Ligue_1,2020-09-26,1,1,0.86,1.11,17,14,3,3,7,0,5.32,18.95,1.13,1.56
Granada,Alaves,La_Liga,2020-09-20,2,1,2.45,0.77,10,5,3,3,3,2,5.61,12.19,2.64,0.23
Real Valladolid,Real Sociedad,La_Liga,2020-09-13,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
Crotone,AC Milan,Serie_A,2020-09-27,0,2,0.11,2.43,5,16,0,6,5,6,9.38,9.73,0.05,2.91
West Ham,Wolverhampton Wanderers,Premier_League,2020-09-27,4,0,3.06,0.39,15,11,7,2,1,4,21.76,8.19,2.87,0.08
Lyon,Dijon,Ligue_1,2020-08-28,4,1,3.97,0.22,27,6,12,2,15,0,6.0,28.6,2.98,0.01
Monaco,Strasbourg,Ligue_1,2020-09-27,3,2,1.56,1.41,11,11,5,5,6,3,9.09,16.1,1.46,1.25
Montpellier,Nice,Ligue_1,2020-09-12,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
Monaco,Nantes,Ligue_1,2020-09-13,2,1,2.27,1.11,18,7,5,2,8,5,9.07,17.0,2.15,0.64
Real Sociedad,Getafe,La_Liga,2020-10-03,3,0,2.2,0.32,11,5,6,1,1,1,4.35,7.27,2.74,0.16
Real Valladolid,Eibar,La_Liga,2020-10-03,1,2,1.09,1.69,9,11,3,5,3,2,8.0,7.68,0.79,1.9
Rubin Kazan,FC Tambov,RFPL,2020-08-30,2,2,2.1,0.73,15,7,8,3,11,2,11.41,15.83,2.39,0.43
PFC Sochi,FC Rostov,RFPL,2020-10-04,4,2,0.91,1.03,14,8,8,3,2,2,8.94,14.33,1.25,1.43
Reims,Paris Saint Germain,Ligue_1,2020-09-27,0,2,0.21,3.94,8,21,3,7,6,26,26.77,11.2,0.03,2.96
AC Milan,Roma,Serie_A,2020-10-26,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
Brest,Strasbourg,Ligue_1,2020-10-25,0,3,0.73,1.29,14,7,4,5,10,3,10.61,25.93,0.78,1.93
Valencia,Real Betis,La_Liga,2020-10-03,0,2,0.48,1.88,5,17,2,8,3,7,9.85,8.1,0.35,2.47
Lorient,Lyon,Ligue_1,2020-09-27,1,1,0.3,0.82,4,19,2,6,4,11,17.95,12.33,0.78,1.82
Roma,Benevento,Serie_A,2020-10-18,5,2,4.19,1.56,20,10,7,4,13,4,7.51,12.95,2.8,0.13
