web-scraper-order,web-scraper-start-url,games,games-href,League,Teams,Date,ODDH,ODDD,ODDA,ODD_1X,ODD_12,ODD_X2,ODD_BthScore_Yes,ODD_BthScore_No,ODD_+25,ODD_-25
"1594588153-6","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
17:00

                    Portugal - Primeira Liga
                
                Moreirense - Paços de Ferreira
            

            
            
                

    Resultado
    
        
            
    
        Moreir
        ense
    
    2,61
    


            
    
        Emp
        ate
    
    3,08
    


            
    
        Paços de Ferr
        eira
    
    2,76
    


        
    


                

    Resultado duplo
    
        
            
    
        Moreirense ou em
        pate
    
    1,42
    


            
    
        Moreirense ou Paços de Ferr
        eira
    
    1,35
    


            
    
        Paços de Ferreira ou em
        pate
    
    1,45
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/moreirense-pacos-de-ferreira-m2563492","Portugal - Primeira Liga","Moreirense - Paços de Ferreira","15/07/2020
17:00","2,61","3,08","2,76","1,42","1,35","1,45","1,82","1,72","2,10","1,55"
"1594588169-13","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


21:00

                    Espanha - La Liga
                
                Granada - Real Madrid
            

            
            
                

    Resultado
    
        
            
    
        Gra
        nada
    
    6,95
    


            
    
        Emp
        ate
    
    4,32
    


            
    
        Real Ma
        drid
    
    1,44
    


        
    


                

    Resultado duplo
    
        
            
    
        Granada ou em
        pate
    
    2,65
    


            
    
        Granada ou Real Ma
        drid
    
    1,18
    


            
    
        Real Madrid ou em
        pate
    
    1,10
    


        
    


                
    192
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/granada-real-madrid-m2557149","Espanha - La Liga","Granada - Real Madrid","Amanhã


21:00","6,95","4,32","1,44","2,65","1,18","1,10","1,82","1,70","1,62","1,88"
"1594588177-16","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


19:00

                    Portugal - Primeira Liga
                
                Marítimo - Rio Ave
            

            
            
                

    Resultado
    
        
            
    
        Marí
        timo
    
    3,68
    


            
    
        Emp
        ate
    
    3,33
    


            
    
        Rio
         Ave
    
    2,04
    


        
    


                

    Resultado duplo
    
        
            
    
        Marítimo ou em
        pate
    
    1,72
    


            
    
        Marítimo ou Rio
         Ave
    
    1,32
    


            
    
        Rio Ave ou em
        pate
    
    1,28
    


        
    


                
    151
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/maritimo-rio-ave-m2563460","Portugal - Primeira Liga","Marítimo - Rio Ave","Amanhã


19:00","3,68","3,33","2,04","1,72","1,32","1,28","1,78","1,80","1,95","1,65"
"1594588174-15","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


20:00

                    Inglaterra - Premier Lg.
                
                Manchester Utd - Southampton
            

            
            
                

    Resultado
    
        
            
    
        Manchester
         Utd
    
    1,29
    


            
    
        Emp
        ate
    
    5,45
    


            
    
        Southam
        pton
    
    9,25
    


        
    


                

    Resultado duplo
    
        
            
    
        Manchester Utd ou em
        pate
    
    1,07
    


            
    
        Manchester Utd ou Southam
        pton
    
    1,12
    


            
    
        Southampton ou em
        pate
    
    3,40
    


        
    


                
    197
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/manchester-utd-southampton-m2556720","Inglaterra - Premier Lg.","Manchester Utd - Southampton","Amanhã


20:00","1,29","5,45","9,25","1,07","1,12","3,40","1,85","1,68","1,45","2,15"
"1594588143-2","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
18:30

                    Itália - Serie A
                
                Sampdoria - Cagliari
            

            
            
                

    Resultado
    
        
            
    
        Samp
        doria
    
    1,96
    


            
    
        Emp
        ate
    
    3,40
    


            
    
        Cagl
        iari
    
    3,53
    


        
    


                

    Resultado duplo
    
        
            
    
        Sampdoria ou em
        pate
    
    1,25
    


            
    
        Sampdoria ou Cagl
        iari
    
    1,27
    


            
    
        Cagliari ou em
        pate
    
    1,72
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/sampdoria-cagliari-m2563537","Itália - Serie A","Sampdoria - Cagliari","15/07/2020
18:30","1,96","3,40","3,53","1,25","1,27","1,72","1,62","1,90","1,70","1,78"
"1594588158-8","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","14/07/2020
21:30

                    Portugal - Primeira Liga
                
                Gil Vicente - Tondela
            

            
            
                

    Resultado
    
        
            
    
        Gil Vic
        ente
    
    2,37
    


            
    
        Emp
        ate
    
    3,08
    


            
    
        Ton
        dela
    
    3,10
    


        
    


                

    Resultado duplo
    
        
            
    
        Gil Vicente ou em
        pate
    
    1,35
    


            
    
        Gil Vicente ou Ton
        dela
    
    1,35
    


            
    
        Tondela ou em
        pate
    
    1,55
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/gil-vicente-tondela-m2563490","Portugal - Primeira Liga","Gil Vicente - Tondela","14/07/2020
21:30","2,37","3,08","3,10","1,35","1,35","1,55","1,88","1,68","2,15","1,50"
"1594588179-17","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


18:30

                    Espanha - La Liga
                
                Villarreal - Real Sociedad
            

            
            
                

    Resultado
    
        
            
    
        Villar
        real
    
    2,20
    


            
    
        Emp
        ate
    
    3,42
    


            
    
        Real Soci
        edad
    
    3,10
    


        
    


                

    Resultado duplo
    
        
            
    
        Villarreal ou em
        pate
    
    1,32
    


            
    
        Villarreal ou Real Soci
        edad
    
    1,28
    


            
    
        Real Sociedad ou em
        pate
    
    1,62
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/villarreal-real-sociedad-m2557148","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1594588160-9","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","14/07/2020
20:45

                    Itália - Serie A
                
                Atalanta - Brescia
            

            
            
                

    Resultado
    
        
            
    
        Atal
        anta
    
    1,14
    


            
    
        Emp
        ate
    
    7,45
    


            
    
        Bre
        scia
    
    13,50
    


        
    


                

    Resultado duplo
    
        
            
    
        Atalanta ou em
        pate
    
    1,03
    


            
    
        Atalanta ou Bre
        scia
    
    1,06
    


            
    
        Brescia ou em
        pate
    
    5,00
    


        
    


                
    101
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/atalanta-brescia-m2563546","Itália - Serie A","Atalanta - Brescia","14/07/2020
20:45","1,14","7,45","13,50","1,03","1,06","5,00","1,75","1,75","1,60","1,90"
"1594588155-7","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","14/07/2020
21:30

                    Portugal - Primeira Liga
                
                Benfica - V. Guimarães
            

            
            
                

    Resultado
    
        
            
    
        Ben
        fica
    
    1,59
    


            
    
        Emp
        ate
    
    3,93
    


            
    
        V. Guim
        arães
    
    5,35
    


        
    


                

    Resultado duplo
    
        
            
    
        Benfica ou em
        pate
    
    1,16
    


            
    
        Benfica ou V. Guim
        arães
    
    1,24
    


            
    
        V. Guimarães ou e
        mpate
    
    2,20
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/benfica-v-guimaraes-m2567335","Portugal - Primeira Liga","Benfica - V. Guimarães","14/07/2020
21:30","1,59","3,93","5,35","1,16","1,24","2,20","1,75","1,78","1,72","1,82"
"1594588164-11","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","14/07/2020
19:15

                    Portugal - Primeira Liga
                
                Portimonense - Boavista
            

            
            
                

    Resultado
    
        
            
    
        Portimon
        ense
    
    1,63
    


            
    
        Emp
        ate
    
    3,70
    


            
    
        Boav
        ista
    
    5,40
    


        
    


                

    Resultado duplo
    
        
            
    
        Portimonense ou em
        pate
    
    1,16
    


            
    
        Portimonense ou Boav
        ista
    
    1,27
    


            
    
        Boavista ou em
        pate
    
    2,15
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/portimonense-boavista-m2563473","Portugal - Primeira Liga","Portimonense - Boavista","14/07/2020
19:15","1,63","3,70","5,40","1,16","1,27","2,15","2,05","1,55","2,05","1,55"
