League,Date,Time,HT,AT
Championship,2020-10-03,1130,Norwich,Derby
Serie_A,2020-10-03,1300,Sassuolo,Crotone
Bundesliga,2020-10-03,1330,Eintracht Frankfurt,Hoffenheim
Bundesliga,2020-10-03,1330,Stuttgart,Bayer Leverkusen
Bundesliga,2020-10-03,1330,FC Koln,B. Monchengladbach
Bundesliga,2020-10-03,1330,Werder Bremen,Arminia Bielefeld
RFPL,2020-10-03,1330,Tambov,Arsenal Tula
RFPL,2020-10-03,1330,Ural,CSKA Moscow
Bundesliga,2020-10-03,1330,Dortmund,Freiburg
Premier_League,2020-10-03,1400,Southampton,West Brom
Championship,2020-10-03,1400,Swansea,Millwall
Premier_League,2020-10-03,1400,Everton,Brighton
Championship,2020-10-03,1400,Brentford,Preston
Championship,2020-10-03,1400,Reading,Watford
Premier_League,2020-10-03,1400,Newcastle,Burnley
Championship,2020-10-03,1400,Nottingham,Bristol City
Championship,2020-10-03,1400,Blackburn,Cardiff
Championship,2020-10-03,1400,Sheffield Wed,QPR
Championship,2020-10-03,1400,Luton,Wycombe
Premier_League,2020-10-03,1400,Leeds,Manchester City
Championship,2020-10-03,1400,Rotherham,Huddersfield
Premier_League,2020-10-03,1400,Leicester,West Ham
Premier_League,2020-10-03,1400,Aston Villa,Liverpool
Premier_League,2020-10-03,1400,Chelsea,Crystal Palace
Premier_League,2020-10-03,1400,Manchester Utd,Tottenham
Championship,2020-10-03,1400,Stoke,Birmingham
Championship,2020-10-03,1400,Middlesbrough,Barnsley
Premier_League,2020-10-03,1400,Arsenal,Sheffield Utd
Premier_League,2020-10-03,1400,Wolves,Fulham
Eredivisie,2020-10-03,1430,Vitesse,Heracles
Ligue_1,2020-10-03,1500,Lens,St Etienne
RFPL,2020-10-03,1600,Spartak Moscow,Zenit
Serie_A,2020-10-03,1600,Genoa,Torino
Bundesliga,2020-10-03,1630,RB Leipzig,Schalke
Eredivisie,2020-10-03,1645,Waalwijk,Zwolle
Eredivisie,2020-10-03,1800,Venlo,Den Haag
Serie_A,2020-10-03,1845,Udinese,AS Roma
Eredivisie,2020-10-03,1900,Twente,FC Emmen
Ligue_1,2020-10-03,1900,Nice,Nantes
Eredivisie,2020-10-04,1015,Groningen,Ajax
Serie_A,2020-10-04,1030,Atalanta,Cagliari
Ligue_1,2020-10-04,1100,Montpellier,Nimes
RFPL,2020-10-04,1100,Lokomotiv Moscow,Khimki
Eredivisie,2020-10-04,1230,Willem II,Feyenoord
Eredivisie,2020-10-04,1230,Sparta Rotterdam,AZ Alkmaar
Ligue_1,2020-10-04,1300,Bordeaux,Dijon
Serie_A,2020-10-04,1300,Lazio,Inter
Ligue_1,2020-10-04,1300,Strasbourg,Lille
Ligue_1,2020-10-04,1300,Brest,Monaco
Serie_A,2020-10-04,1300,Benevento,Bologna
Ligue_1,2020-10-04,1300,Metz,Lorient
Serie_A,2020-10-04,1300,Parma,Verona
RFPL,2020-10-04,1330,Rubin Kazan,Akhmat Grozny
Bundesliga,2020-10-04,1330,Wolfsburg,Augsburg
RFPL,2020-10-04,1330,Sochi,FK Rostov
Eredivisie,2020-10-04,1445,PSV,Sittard
Ligue_1,2020-10-04,1500,Rennes,Reims
Serie_A,2020-10-04,1600,AC Milan,Spezia
Bundesliga,2020-10-04,1600,Bayern Munich,Hertha Berlin
RFPL,2020-10-04,1700,Dynamo Moscow,Krasnodar
Serie_A,2020-10-04,1845,Juventus,Napoli
Ligue_1,2020-10-04,1900,Lyon,Marseille
