League,Date,Time,HT,AT
Eredivisie,2020-09-13,1015,FC Emmen,Venlo
Ligue_1,2020-09-13,1100,Lille,Metz
Eredivisie,2020-09-13,1230,Heracles,Den Haag
Eredivisie,2020-09-13,1230,Sparta Rotterdam,Ajax
Ligue_1,2020-09-13,1300,Nimes,Rennes
Premier_League,2020-09-13,1300,West Brom,Leicester
Ligue_1,2020-09-13,1300,Angers,Reims
Ligue_1,2020-09-13,1300,Dijon,Brest
Ligue_1,2020-09-13,1300,Lorient,Lens
Premier_League,2020-09-13,1330,Dynamo Moscow,Rubin Kazan
LaLiga,2020-09-13,1400,Valladolid,Real Sociedad
Eredivisie,2020-09-13,1445,Waalwijk,Vitesse
Eredivisie,2020-09-13,1445,Groningen,PSV
Ligue_1,2020-09-13,1500,Monaco,Nantes
Premier_League,2020-09-13,1530,Tottenham,Everton
Premier_League,2020-09-13,1600,R. Volgograd,Krasnodar
Premier_League,2020-09-13,1600,CSKA Moscow,Spartak Moscow
LaLiga,2020-09-13,1630,Villarreal,Huesca
Ligue_1,2020-09-13,1900,Paris SG,Marseille
LaLiga,2020-09-13,1900,Valencia,Levante
Premier_League,2020-09-14,1530,Zenit,Arsenal Tula
Premier_League,2020-09-14,1730,FK Rostov,Lokomotiv Moscow
LaLiga,2020-09-14,1900,Alaves,Betis
Premier_League,2020-09-14,1900,Brighton,Chelsea
Premier_League,2020-09-14,1900,Sheffield Utd,Wolves
Champions,2020-09-15,1700,Qarabag (Aze) ,Molde (Nor)
Champions,2020-09-15,1700,Dyn. Kyiv (Ukr) ,AZ Alkmaar (Ned)
Champions,2020-09-15,1800,PAOK (Gre) ,Benfica (Por)
Champions,2020-09-15,1830,Gent (Bel) ,Rapid Vienna (Aut)
Ligue_1,2020-09-15,1900,Montpellier,Lyon
Champions,2020-09-16,1500,Omonia (Cyp) ,FK Crvena zvezda (Srb)
Champions,2020-09-16,1700,Maccabi Tel Aviv (Isr) ,Dynamo Brest (Blr)
Champions,2020-09-16,1700,Ferencvaros (Hun) ,D. Zagreb (Cro)
Europa_League,2020-09-16,1700,Hammarby (Swe) ,Lech Poznan (Pol)
Champions,2020-09-16,1830,Midtjylland (Den) ,Young Boys (Sui)
Ligue_1,2020-09-16,1900,Paris SG,Metz
Europa_League,2020-09-17,1545,FC Botosani (Rou) ,Shkendija (Mkd)
Europa_League,2020-09-17,1600,Riteriai (Ltu) ,Liberec (Cze)
Europa_League,2020-09-17,1700,Lokomotiv Tbilisi (Geo) ,Dynamo Moscow (Rus)
Europa_League,2020-09-17,1800,Piast Gliwice (Pol) ,Hartberg (Aut)
Europa_League,2020-09-17,1845,Dun. Streda (Svk) ,Jablonec (Cze)
Europa_League,2020-09-17,1900,TSC Backa Topola (Srb) ,FCSB (Rou)
Ligue_1,2020-09-17,1900,Marseille,St Etienne
Premier_League,2020-09-18,1700,Krasnodar,Khimki
Primeira_Liga,2020-09-18,1800,Famalicao,Benfica
Bundesliga,2020-09-18,1830,Bayern Munich,Schalke
Ligue_1,2020-09-18,1900,Lyon,Nimes
LaLiga,2020-09-18,1900,Getafe,Osasuna
Primeira_Liga,2020-09-18,2015,Vitoria Guimaraes,Belenenses
Premier_League,2020-09-19,1130,Everton,West Brom
Bundesliga,2020-09-19,1330,Stuttgart,Freiburg
Bundesliga,2020-09-19,1330,Eintracht Frankfurt,Arminia Bielefeld
Bundesliga,2020-09-19,1330,Werder Bremen,Hertha Berlin
Bundesliga,2020-09-19,1330,FC Koln,Hoffenheim
Bundesliga,2020-09-19,1330,Union Berlin,Augsburg
Premier_League,2020-09-19,1330,Ural,Zenit
Premier_League,2020-09-19,1400,Leicester,Burnley
LaLiga,2020-09-19,1400,Villarreal,Eibar
Premier_League,2020-09-19,1400,Leeds,Fulham
Primeira_Liga,2020-09-19,1500,Nacional,Boavista
Ligue_1,2020-09-19,1500,Lens,Bordeaux
Serie_A,2020-09-19,1600,Fiorentina,Torino
Premier_League,2020-09-19,1600,FK Rostov,R. Volgograd
Premier_League,2020-09-19,1630,Manchester Utd,Crystal Palace
Bundesliga,2020-09-19,1630,Dortmund,B. Monchengladbach
Primeira_Liga,2020-09-19,1730,Sporting,Gil Vicente
Serie_A,2020-09-19,1845,Verona,AS Roma
Ligue_1,2020-09-19,1900,Rennes,Monaco
LaLiga,2020-09-19,1900,Celta Vigo,Valencia
Primeira_Liga,2020-09-19,2000,FC Porto,Braga
Serie_A,2020-09-20,1030,Parma,Napoli
Premier_League,2020-09-20,1100,Arsenal Tula,Sochi
Premier_League,2020-09-20,1100,Southampton,Tottenham
Premier_League,2020-09-20,1100,Ufa,CSKA Moscow
Premier_League,2020-09-20,1300,Aston Villa,Sheffield Utd
Serie_A,2020-09-20,1300,Genoa,Crotone
Ligue_1,2020-09-20,1300,Strasbourg,Dijon
Ligue_1,2020-09-20,1300,Metz,Reims
Premier_League,2020-09-20,1300,Newcastle,Brighton
Premier_League,2020-09-20,1300,Arsenal,West Ham
Ligue_1,2020-09-20,1300,Montpellier,Angers
Ligue_1,2020-09-20,1300,Brest,Lorient
Premier_League,2020-09-20,1330,Rubin Kazan,Spartak Moscow
Bundesliga,2020-09-20,1330,RB Leipzig,Mainz
LaLiga,2020-09-20,1400,Huesca,Cadiz CF
Primeira_Liga,2020-09-20,1500,Santa Clara,Maritimo
Ligue_1,2020-09-20,1500,Nantes,St Etienne
Premier_League,2020-09-20,1530,Chelsea,Liverpool
Serie_A,2020-09-20,1600,Sassuolo,Cagliari
Premier_League,2020-09-20,1600,Lokomotiv Moscow,Tambov
Bundesliga,2020-09-20,1600,Wolfsburg,Bayer Leverkusen
LaLiga,2020-09-20,1630,Granada CF,Alaves
Primeira_Liga,2020-09-20,1730,Moreirense,SC Farense
Serie_A,2020-09-20,1845,Juventus,Sampdoria
LaLiga,2020-09-20,1900,Real Sociedad,Real Madrid
Ligue_1,2020-09-20,1900,Marseille,Lille
Primeira_Liga,2020-09-20,2000,Tondela,Rio Ave
Premier_League,2020-09-21,1600,Dynamo Moscow,Akhmat Grozny
Primeira_Liga,2020-09-21,1845,Portimonense,Ferreira
Serie_A,2020-09-21,1845,AC Milan,Bologna
Premier_League,2020-09-21,1900,Wolves,Manchester City
LaLiga,2020-09-21,1900,Betis,Valladolid
Europa_League,2020-09-24,1600,Plzen (Cze) ,Sonderjyske (Den)
Bundesliga,2020-09-25,1830,Hertha Berlin,Eintracht Frankfurt
Bundesliga,2020-09-26,1330,B. Monchengladbach,Union Berlin
Bundesliga,2020-09-26,1330,Bayer Leverkusen,RB Leipzig
Bundesliga,2020-09-26,1330,Arminia Bielefeld,FC Koln
Bundesliga,2020-09-26,1330,Augsburg,Dortmund
Bundesliga,2020-09-26,1330,Mainz,Stuttgart
Bundesliga,2020-09-26,1630,Schalke,Werder Bremen
Bundesliga,2020-09-27,1330,Hoffenheim,Bayern Munich
Bundesliga,2020-09-27,1600,Freiburg,Wolfsburg
Serie_A,2020-09-30,1800,Udinese,Spezia
Serie_A,2020-09-30,1800,Lazio,Atalanta
Serie_A,2020-09-30,1800,Benevento,Inter
