,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2
20,1595155350-57,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Los Angeles FC
              
                Portland Timbers",https://www.betano.pt/odds/los-angeles-fc-portland-timbers/5986929/,MLS,"Sexta-feira, 24 Julho 2020 03:30",Los Angeles FC,Portland Timbers,1.6,3.95,5.05,1.47,2.1,Mais de2.5,1.13,3.65,Mais de1.5,2.18,1.42,Mais de3.5,1.50,2.02,Ambas Equipas Marcam (Sim/Não),1.14,1.17,2.2,1X,12,2X
21,1595155101-15,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Ross County
              
                Motherwell FC",https://www.betano.pt/odds/ross-county-motherwell-fc/5906394/,Premiership,"Segunda-feira, 3 Agosto 2020 19:45",Ross County,Motherwell FC,3.0,3.15,2.33,1.75,1.72,Mais de2.5,1.23,2.94,Mais de1.5,2.84,1.25,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.53,1.26,1.33,1X,12,2X
22,1595155086-13,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Barnsley FC
              
                Nottingham Forest",https://www.betano.pt/odds/barnsley-fc-nottingham-forest/5735081/,Championship,"Domingo, 19 Julho 2020 15:00",Barnsley FC,Nottingham Forest,2.62,3.25,2.56,1.78,1.7,Mais de2.5,1.24,2.92,Mais de1.5,2.92,1.24,Mais de3.5,1.61,1.9,Ambas Equipas Marcam (Sim/Não),1.45,1.25,1.44,1X,12,2X
23,1595155209-34,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"FC Copenhagen
              
                Istanbul Basaksehir
                        
            Primeira mão: 0-1",https://www.betano.pt/odds/fc-copenhagen-istanbul-basaksehir/5916196/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 17:55",FC Copenhagen,Istanbul Basaksehir,2.2,3.2,3.15,3.50,1.2,FC Copenhagen,,,,,,,1.03,6.25,Total de Golos Mais/Menos (alternativas),1.83,2.2,6.25,FC Copenhagen,Istanbul Basaksehir,Sem Golos
24,1595155261-42,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"CA Osasuna
              
                Maiorca",https://www.betano.pt/odds/ca-osasuna-maiorca/5979289/,LaLiga,"Domingo, 19 Julho 2020 20:00",CA Osasuna,Maiorca,1.8,3.7,3.95,1.63,1.95,Mais de2.5,1.18,3.5,Mais de1.5,2.54,1.36,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.21,1.21,1.88,1X,12,2X
25,1595155158-25,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Rostov
              
                Zenit São Petersburgo",https://www.betano.pt/odds/rostov-zenit-sao-petersburgo/5984756/,Premier Liga,"Quarta-feira, 22 Julho 2020 17:00",Rostov,Zenit São Petersburgo,2.19,3.1,2.5,1.57,1.83,Mais de2.5,1.16,3.15,Mais de1.5,2.45,1.3,Mais de3.5,1.47,2.0,Ambas Equipas Marcam (Sim/Não),1.38,1.22,1.5,1X,12,2X
26,1595155142-22,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Rubin Kazan
              
                Spartak Moscovo",https://www.betano.pt/odds/rubin-kazan-spartak-moscovo/5984759/,Premier Liga,"Quarta-feira, 22 Julho 2020 17:00",Rubin Kazan,Spartak Moscovo,2.68,2.9,2.16,1.85,1.57,Mais de2.5,1.26,2.58,Mais de1.5,3.05,1.17,Mais de3.5,1.65,1.75,Ambas Equipas Marcam (Sim/Não),1.53,1.25,1.33,1X,12,2X
27,1595155449-75,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Parma
              
                Nápoles",https://www.betano.pt/odds/parma-napoles/5976744/,Série A,"Quarta-feira, 22 Julho 2020 18:30",Parma,Nápoles,5.15,4.05,1.57,1.53,2.1,Mais de2.5,1.15,3.85,Mais de1.5,2.33,1.42,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),2.25,1.17,1.13,1X,12,2X
28,1595155547-93,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Bournemouth
              
                Southampton",https://www.betano.pt/odds/bournemouth-southampton/5793720/,Premier League,"Domingo, 19 Julho 2020 14:00",Bournemouth,Southampton,2.4,3.65,2.78,1.63,2.02,Mais de2.5,1.17,3.6,Mais de1.5,2.5,1.36,Mais de3.5,1.50,2.16,Ambas Equipas Marcam (Sim/Não),1.40,1.23,1.53,1X,12,2X
29,1595155070-10,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Leeds United
              
                Charlton",https://www.betano.pt/odds/leeds-united-charlton/5771388/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Leeds United,Charlton,1.65,3.85,4.65,1.50,2.05,Mais de2.5,1.14,3.65,Mais de1.5,2.25,1.42,Mais de3.5,1.53,2.04,Ambas Equipas Marcam (Sim/Não),1.16,1.17,2.11,1X,12,2X
30,1595155480-81,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Génova
              
                US Lecce",https://www.betano.pt/odds/genova-us-lecce/5949622/,Série A,"Domingo, 19 Julho 2020 18:30",Génova,US Lecce,1.8,3.55,4.1,1.57,2.04,Mais de2.5,1.17,3.65,Mais de1.5,2.37,1.42,Mais de3.5,1.50,2.13,Ambas Equipas Marcam (Sim/Não),1.19,1.22,1.91,1X,12,2X
31,1595155245-40,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Juventus
              
                Lyon
                        
            Primeira mão: 0-1",https://www.betano.pt/odds/juventus-lyon/5916466/,Liga dos Campeões - Jogos,"Sexta-feira, 7 Agosto 2020 20:00",Juventus,Lyon,1.4,4.4,7.15,1.67,1.9,Juventus,,,,,,,1.02,6.7,Total de Golos Mais/Menos (alternativas),1.35,3.45,6.7,Juventus,Lyon,Sem Golos
32,1595155392-65,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Inter Miami CF
              
                New York City FC",https://www.betano.pt/odds/inter-miami-cf-new-york-city-fc/5986895/,MLS,"Segunda-feira, 20 Julho 2020 14:00",Inter Miami CF,New York City FC,3.25,3.5,2.05,1.57,1.9,Mais de2.5,1.17,3.3,Mais de1.5,2.45,1.33,Mais de3.5,1.50,2.05,Ambas Equipas Marcam (Sim/Não),1.67,1.21,1.3,1X,12,2X
33,1595155438-73,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"US Lecce
              
                Brescia Calcio",https://www.betano.pt/odds/us-lecce-brescia-calcio/5976746/,Série A,"Quarta-feira, 22 Julho 2020 20:45",US Lecce,Brescia Calcio,1.83,3.85,3.65,1.50,2.15,Mais de2.5,1.14,3.95,Mais de1.5,2.25,1.45,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.24,1.19,1.87,1X,12,2X
34,1595155355-58,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Los Angeles Galaxy
              
                Houston Dynamo",https://www.betano.pt/odds/los-angeles-galaxy-houston-dynamo/5986928/,MLS,"Sexta-feira, 24 Julho 2020 01:00",Los Angeles Galaxy,Houston Dynamo,1.9,3.75,3.5,1.63,1.83,Mais de3.5,1.04,5.05,Mais de1.5,1.24,2.82,Mais de2.5,1.23,2.9,Ambas Equipas Marcam (Sim/Não),1.26,1.19,1.8,1X,12,2X
35,1595155060-8,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Swansea City",https://www.betano.pt/odds/reading-swansea-city/5771390/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Reading,Swansea City,3.85,3.35,1.91,1.72,1.75,Mais de2.5,1.22,3.05,Mais de1.5,2.74,1.27,Mais de3.5,1.60,1.91,Ambas Equipas Marcam (Sim/Não),1.78,1.23,1.22,1X,12,2X
36,1595155297-49,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Real Valladolid
              
                Bétis",https://www.betano.pt/odds/real-valladolid-betis/5979230/,LaLiga,"Domingo, 19 Julho 2020 17:30",Real Valladolid,Bétis,2.62,3.25,2.56,1.67,1.88,Mais de2.5,1.21,3.3,Mais de1.5,2.64,1.33,Mais de3.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.45,1.26,1.44,1X,12,2X
37,1595155443-74,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Inter de Milão
              
                Fiorentina",https://www.betano.pt/odds/inter-de-milao-fiorentina/5976745/,Série A,"Quarta-feira, 22 Julho 2020 20:45",Inter de Milão,Fiorentina,1.53,4.25,5.2,1.57,2.02,Mais de2.5,1.15,3.8,Mais de1.5,2.45,1.38,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.12,1.16,2.33,1X,12,2X
38,1595155423-70,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Spal
              
                AS Roma",https://www.betano.pt/odds/spal-as-roma/5976752/,Série A,"Quarta-feira, 22 Julho 2020 20:45",Spal,AS Roma,6.6,4.8,1.38,2.02,1.57,Mais de3.5,1.1,4.5,Mais de1.5,1.4,2.4,Mais de2.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),2.78,1.12,1.07,1X,12,2X
39,1595155153-24,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"CSKA Moscovo
              
                Tambov",https://www.betano.pt/odds/cska-moscovo-tambov/5984757/,Premier Liga,"Quarta-feira, 22 Julho 2020 17:00",CSKA Moscovo,Tambov,1.28,4.15,6.45,1.65,1.75,Mais de2.5,1.17,3.05,Mais de1.5,2.58,1.26,Mais de3.5,1.95,1.5,Ambas Equipas Marcam (Sim/Não),1.03,1.11,2.98,1X,12,2X
40,1595155271-44,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Leganés
              
                Real Madrid",https://www.betano.pt/odds/leganes-real-madrid/5979285/,LaLiga,"Domingo, 19 Julho 2020 20:00",Leganés,Real Madrid,3.3,3.35,2.1,1.83,1.72,Mais de2.5,1.26,3.0,Mais de1.5,3.0,1.26,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.67,1.25,1.28,1X,12,2X
41,1595155266-43,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Levante
              
                Getafe",https://www.betano.pt/odds/levante-getafe/5979287/,LaLiga,"Domingo, 19 Julho 2020 20:00",Levante,Getafe,4.6,3.55,1.72,1.83,1.72,Mais de2.5,1.26,2.98,Mais de1.5,3.0,1.26,Mais de3.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),2.00,1.23,1.16,1X,12,2X
42,1595155281-46,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Espanhol
              
                Celta de Vigo",https://www.betano.pt/odds/espanhol-celta-de-vigo/5979282/,LaLiga,"Domingo, 19 Julho 2020 20:00",Espanhol,Celta de Vigo,4.85,3.55,1.7,2.00,1.6,Mais de2.5,1.31,2.74,Mais de1.5,3.45,1.19,Mais de3.5,1.91,1.65,Ambas Equipas Marcam (Sim/Não),2.04,1.23,1.14,1X,12,2X
43,1595155495-84,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Parma
              
                Sampdoria",https://www.betano.pt/odds/parma-sampdoria/5949619/,Série A,"Domingo, 19 Julho 2020 16:15",Parma,Sampdoria,3.0,2.94,2.45,1.80,1.75,Mais de2.5,1.24,3.1,Mais de1.5,2.84,1.28,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.47,1.32,1.33,1X,12,2X
44,1595155240-39,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Manchester City
              
                Real Madrid
                        
            Primeira mão: 2-1",https://www.betano.pt/odds/manchester-city-real-madrid/5916498/,Liga dos Campeões - Jogos,"Sexta-feira, 7 Agosto 2020 20:00",Manchester City,Real Madrid,1.63,4.25,4.33,1.07,5.3,Manchester City,,,,,,,-,7.0,Total de Golos Mais/Menos (alternativas),1.50,2.45,7.0,Manchester City,Real Madrid,Sem Golos
45,1595155112-17,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Aberdeen FC
              
                Rangers",https://www.betano.pt/odds/aberdeen-fc-rangers/5906398/,Premiership,"Sábado, 1 Agosto 2020 17:30",Aberdeen FC,Rangers,7.1,4.45,1.4,1.57,1.95,Mais de2.5,1.16,3.45,Mais de1.5,2.4,1.36,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),2.72,1.13,1.06,1X,12,2X
46,1595155163-26,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Krasnodar
              
                Dinamo Moscovo",https://www.betano.pt/odds/krasnodar-dinamo-moscovo/5984766/,Premier Liga,"Domingo, 19 Julho 2020 18:30",Krasnodar,Dinamo Moscovo,1.65,3.1,3.95,1.80,1.6,Mais de2.5,1.24,2.66,Mais de1.5,2.96,1.19,Mais de3.5,1.72,1.67,Ambas Equipas Marcam (Sim/Não),1.15,1.22,1.95,1X,12,2X
47,1595155382-63,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Toronto FC
              
                New England Revolution",https://www.betano.pt/odds/toronto-fc-new-england-revolution/5986894/,MLS,"Terça-feira, 21 Julho 2020 14:00",Toronto FC,New England Revolution,2.12,3.25,3.35,1.67,1.78,Mais de2.5,1.2,3.05,Mais de1.5,2.63,1.28,Mais de3.5,1.55,1.95,Ambas Equipas Marcam (Sim/Não),1.28,1.25,1.63,1X,12,2X
48,1595155412-68,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Lázio
              
                Cagliari",https://www.betano.pt/odds/lazio-cagliari/5976755/,Série A,"Quinta-feira, 23 Julho 2020 20:45",Lázio,Cagliari,1.47,4.45,5.7,2.14,1.5,Mais de3.5,1.11,4.3,Mais de1.5,1.45,2.25,Mais de2.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.10,1.14,2.5,1X,12,2X
49,1595155318-52,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Porto
              
                Moreirense",https://www.betano.pt/odds/fc-porto-moreirense/5968136/,Primeira Liga,"Segunda-feira, 20 Julho 2020 21:15",FC Porto,Moreirense,1.33,4.95,7.85,1.57,2.02,Mais de2.5,1.16,3.75,Mais de1.5,2.45,1.38,Mais de3.5,1.87,1.67,Ambas Equipas Marcam (Sim/Não),1.04,1.11,3.0,1X,12,2X
50,1595155537-91,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Brighton
              
                Newcastle",https://www.betano.pt/odds/brighton-newcastle/5793721/,Premier League,"Segunda-feira, 20 Julho 2020 18:00",Brighton,Newcastle,1.78,3.45,4.35,1.91,1.65,Mais de2.5,1.28,2.82,Mais de1.5,3.3,1.21,Mais de3.5,1.80,1.75,Ambas Equipas Marcam (Sim/Não),1.18,1.23,1.91,1X,12,2X
51,1595155204-33,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Shakhtar Donetsk
              
                Wolfsburgo
                        
            Primeira mão: 2-1",https://www.betano.pt/odds/shakhtar-donetsk-wolfsburgo/5916255/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 17:55",Shakhtar Donetsk,Wolfsburgo,2.56,3.35,2.56,1.18,3.7,Shakhtar Donetsk,,,,,,,1.02,6.6,Total de Golos Mais/Menos (alternativas),1.95,1.95,6.6,Shakhtar Donetsk,Wolfsburgo,Sem Golos
52,1595155189-30,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Bayer Leverkusen
              
                Rangers
                        
            Primeira mão: 3-1",https://www.betano.pt/odds/bayer-leverkusen-rangers/5916106/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 17:55",Bayer Leverkusen,Rangers,1.67,3.85,4.55,-,14.0,Bayer Leverkusen,,,,,,,1.02,6.8,Total de Golos Mais/Menos (alternativas),1.53,2.63,6.8,Bayer Leverkusen,Rangers,Sem Golos
53,1595155184-29,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Sevilha
              
                AS Roma
                        
            Em local neutro",https://www.betano.pt/odds/sevilha-as-roma/5916298/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 17:55",Sevilha,AS Roma,2.4,3.2,2.84,1.67,1.91,Sevilha,,,,,,,1.03,6.3,Total de Golos Mais/Menos (alternativas),1.91,2.1,6.3,Sevilha,AS Roma,Sem Golos
54,1595155397-66,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Seattle Sounders
              
                Vancouver Whitecaps FC",https://www.betano.pt/odds/seattle-sounders-vancouver-whitecaps-fc/5986923/,MLS,"Segunda-feira, 20 Julho 2020 03:30",Seattle Sounders,Vancouver Whitecaps FC,1.61,4.0,4.8,1.53,2.0,Mais de2.5,1.14,3.55,Mais de1.5,2.3,1.38,Mais de3.5,1.55,1.95,Ambas Equipas Marcam (Sim/Não),1.15,1.16,2.18,1X,12,2X
55,1595155521-88,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Watford
              
                Manchester City",https://www.betano.pt/odds/watford-manchester-city/5959949/,Premier League,"Terça-feira, 21 Julho 2020 18:00",Watford,Manchester City,7.9,5.1,1.32,2.02,1.57,Mais de3.5,1.1,4.5,Mais de1.5,1.4,2.4,Mais de2.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),3.10,1.1,1.04,1X,12,2X
56,1595155106-16,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Celtic
              
                Hamilton Academical",https://www.betano.pt/odds/celtic-hamilton-academical/5906399/,Premiership,"Domingo, 2 Agosto 2020 16:30",Celtic,Hamilton Academical,1.12,7.65,17.5,1.80,1.67,Mais de3.5,1.05,5.0,Mais de1.5,1.3,2.63,Mais de2.5,2.10,1.47,Ambas Equipas Marcam (Sim/Não),-,1.06,5.3,1X,12,2X
