HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Sheffield United,Chelsea,Premier_League,2020-07-11,3,0,2.01,1.18,9,15,4,4,5,3,45.91,4.73,2.04,0.73
Cagliari,Juventus,Serie_A,2020-07-29,2,0,1.06,1.26,11,34,5,10,1,3,16.0,8.09,1.22,1.47
Atletico Madrid,Real Sociedad,La_Liga,2020-07-19,1,1,1.5,0.34,6,10,3,4,6,0,20.81,10.73,2.46,0.35
Bayern Munich,Borussia M.Gladbach,Bundesliga,2020-06-13,2,1,1.78,0.98,10,9,5,2,8,4,13.5,20.69,2.0,0.74
Cagliari,Sassuolo,Serie_A,2020-07-18,1,1,0.39,0.72,2,12,1,2,2,7,20.36,4.16,0.97,1.59
Crystal Palace,Chelsea,Premier_League,2020-07-07,2,3,1.29,2.66,13,14,4,6,7,8,14.0,7.38,0.49,2.32
Brescia,SPAL 2013,Serie_A,2020-07-19,2,1,1.62,1.58,17,15,3,6,11,9,12.79,10.94,1.36,1.36
Bologna,Torino,Serie_A,2020-08-02,1,1,1.34,1.46,19,15,5,9,6,10,9.13,10.17,1.26,1.46
Aston Villa,Manchester United,Premier_League,2020-07-09,0,3,0.6,2.87,9,14,1,6,2,13,21.24,8.0,0.15,2.77
FC Krasnodar,Arsenal Tula,RFPL,2020-08-18,2,0,1.95,0.66,14,11,7,4,9,2,6.0,11.33,2.42,0.39
Bournemouth,Tottenham,Premier_League,2020-07-09,0,0,0.96,0.48,8,9,2,0,6,5,12.29,6.47,1.82,0.83
Fortuna Duesseldorf,Borussia Dortmund,Bundesliga,2020-06-13,0,1,0.38,0.68,6,6,3,3,2,5,24.24,12.48,0.94,1.63
Getafe,Real Sociedad,La_Liga,2020-06-29,2,1,1.39,0.73,11,5,4,1,2,5,6.77,7.21,1.98,0.72
Mallorca,Celta Vigo,La_Liga,2020-06-30,5,1,1.68,1.56,9,12,7,8,1,13,14.59,10.09,1.42,1.28
Hertha Berlin,Eintracht Frankfurt,Bundesliga,2020-06-13,1,4,0.6,2.94,5,18,4,7,2,9,16.21,9.52,0.12,2.81
Paderborn,Werder Bremen,Bundesliga,2020-06-13,1,5,1.97,3.13,18,11,7,8,4,7,10.75,5.56,0.57,2.23
Hoffenheim,RasenBallsport Leipzig,Bundesliga,2020-06-12,0,2,1.76,1.37,24,15,6,7,8,13,8.68,9.42,1.65,1.1
Udinese,Lecce,Serie_A,2020-07-29,1,2,1.55,1.93,10,13,3,7,6,6,16.75,10.29,1.01,1.71
Torino,Genoa,Serie_A,2020-07-16,3,0,1.42,1.07,12,14,5,5,3,4,8.71,7.88,1.7,1.01
Barcelona,Osasuna,La_Liga,2020-07-16,1,2,1.15,0.67,18,9,2,5,16,3,5.88,28.0,1.71,0.96
Sheffield United,Wolverhampton Wanderers,Premier_League,2020-07-08,1,0,0.47,0.33,7,6,3,1,7,2,18.89,11.85,1.41,1.08
Verona,Atalanta,Serie_A,2020-07-18,1,1,1.44,1.75,15,21,8,7,3,8,8.76,6.23,1.14,1.6
Southampton,Sheffield United,Premier_League,2020-07-26,3,1,1.64,1.41,13,5,4,3,10,1,6.8,17.61,1.52,1.18
Burnley,Brighton,Premier_League,2020-07-26,1,2,1.44,1.37,13,14,2,4,5,4,5.93,16.36,1.43,1.29
Mainz 05,Augsburg,Bundesliga,2020-06-14,0,1,1.43,0.89,17,9,4,3,10,4,5.63,12.3,1.8,0.91
Lorient,Strasbourg,Ligue_1,2020-08-23,3,1,3.07,0.33,10,7,7,1,2,4,7.17,17.4,2.92,0.05
Fiorentina,Bologna,Serie_A,2020-07-29,4,0,2.39,1.3,14,12,7,2,11,4,17.22,14.76,2.24,0.54
Union Berlin,Fortuna Duesseldorf,Bundesliga,2020-06-27,3,0,1.19,0.99,11,26,5,2,4,8,12.05,10.76,1.57,1.14
Borussia M.Gladbach,Hertha Berlin,Bundesliga,2020-06-27,2,1,3.07,0.83,23,5,8,2,9,4,13.14,18.57,2.69,0.2
Sassuolo,Juventus,Serie_A,2020-07-15,3,3,1.9,2.43,22,21,11,5,10,5,10.9,12.22,1.06,1.72
Roma,Verona,Serie_A,2020-07-15,2,1,2.66,0.88,20,7,6,1,8,6,13.76,9.71,2.61,0.26
Freiburg,Schalke 04,Bundesliga,2020-06-27,4,0,1.88,0.65,15,22,8,6,10,7,11.53,16.79,2.31,0.49
Alaves,Getafe,La_Liga,2020-07-13,0,0,0.12,0.6,3,14,1,4,2,8,3.61,4.18,0.7,1.78
Ural,Lokomotiv Moscow,RFPL,2020-08-19,1,1,0.58,2.72,5,21,1,8,4,10,15.36,17.67,0.18,2.73
Wolfsburg,Freiburg,Bundesliga,2020-06-13,2,2,2.48,2.09,20,11,6,6,11,4,11.05,8.84,1.6,1.16
Roma,Inter,Serie_A,2020-07-19,2,2,1.44,1.53,7,8,3,3,7,6,18.05,12.06,1.25,1.42
Liverpool,Burnley,Premier_League,2020-07-11,1,1,2.18,0.45,23,6,9,2,19,2,8.69,23.47,2.56,0.29
Spartak Moscow,Lokomotiv Moscow,RFPL,2020-08-23,2,1,1.56,0.71,17,9,8,3,10,4,6.6,8.87,2.05,0.7
Sampdoria,AC Milan,Serie_A,2020-07-29,1,4,2.45,3.09,19,20,6,9,5,14,13.96,11.85,1.01,1.79
Liverpool,Chelsea,Premier_League,2020-07-22,5,3,1.45,2.38,10,10,7,5,5,3,12.1,14.75,0.67,2.11
Manchester United,West Ham,Premier_League,2020-07-22,1,1,0.98,1.29,11,12,4,3,13,2,11.85,13.39,1.04,1.63
Bournemouth,Leicester,Premier_League,2020-07-12,4,1,2.54,1.66,10,13,4,5,3,14,18.47,9.35,2.08,0.7
Villarreal,Eibar,La_Liga,2020-07-19,4,0,3.01,0.76,12,11,5,3,6,2,23.33,20.67,2.74,0.17
Aston Villa,Arsenal,Premier_League,2020-07-21,1,0,0.57,0.74,8,7,3,0,4,6,18.63,6.29,1.14,1.47
Torino,Roma,Serie_A,2020-07-29,2,3,0.97,2.42,9,15,4,6,4,7,18.13,9.03,0.38,2.45
Granada,Athletic Club,La_Liga,2020-07-19,4,0,2.33,0.56,11,10,6,3,6,0,14.86,8.75,2.66,0.23
Fiorentina,Torino,Serie_A,2020-07-19,2,0,1.29,0.24,17,7,4,0,6,6,19.93,5.74,2.27,0.46
Inter,Torino,Serie_A,2020-07-13,3,1,2.52,1.7,24,11,10,3,12,2,6.03,11.32,1.92,0.87
Real Madrid,Villarreal,La_Liga,2020-07-16,2,1,1.7,1.14,12,8,7,4,8,1,11.92,13.38,1.82,0.86
Brescia,Sampdoria,Serie_A,2020-08-01,1,1,1.66,1.95,16,18,4,5,6,4,11.7,10.36,1.12,1.6
Bordeaux,Nantes,Ligue_1,2020-08-21,0,0,0.6,0.19,5,6,1,1,0,2,24.46,13.0,1.86,0.7
Valencia,Espanyol,La_Liga,2020-07-16,1,0,1.24,1.2,9,18,3,6,4,9,26.56,8.45,1.4,1.3
Valencia,Athletic Club,La_Liga,2020-07-01,0,2,1.27,0.91,10,12,1,4,8,5,9.86,10.92,1.67,1.01
Real Betis,Villarreal,La_Liga,2020-07-01,0,2,0.4,2.92,10,14,1,6,4,6,18.81,8.72,0.1,2.85
Aston Villa,Crystal Palace,Premier_League,2020-07-12,2,0,1.7,0.97,12,9,9,5,4,3,8.92,7.45,1.95,0.8
Atalanta,Brescia,Serie_A,2020-07-14,6,2,2.44,0.87,14,6,7,4,13,1,7.33,23.61,2.44,0.39
FC Ufa,FC Rostov,RFPL,2020-08-23,0,1,0.51,1.45,5,18,2,6,2,14,13.89,10.93,0.58,2.16
Sampdoria,Cagliari,Serie_A,2020-07-15,3,0,1.61,0.5,11,15,4,2,6,4,17.06,17.33,2.31,0.47
Eibar,Real Valladolid,La_Liga,2020-07-16,3,1,2.6,2.15,13,17,7,8,3,2,5.23,8.19,1.75,0.98
Lille,Rennes,Ligue_1,2020-08-22,1,1,0.4,1.3,5,16,1,3,1,6,16.5,23.07,0.54,2.18
Tottenham,Arsenal,Premier_League,2020-07-12,2,1,1.82,0.69,15,13,9,4,4,6,17.04,13.06,2.26,0.53
Sassuolo,Udinese,Serie_A,2020-08-02,0,1,1.0,2.15,23,12,10,2,10,8,8.22,18.67,0.57,2.24
Juventus,Roma,Serie_A,2020-08-01,1,3,1.04,1.94,11,12,3,6,4,5,9.5,19.16,0.65,2.12
AC Milan,Bologna,Serie_A,2020-07-18,5,1,3.14,0.53,23,8,13,3,13,2,6.16,9.84,2.78,0.14
Real Betis,Alaves,La_Liga,2020-07-16,1,2,1.8,2.31,14,9,7,5,13,5,6.53,33.67,0.99,1.77
Chelsea,Wolverhampton Wanderers,Premier_League,2020-07-26,2,0,1.16,0.16,11,5,3,1,7,2,6.83,14.52,2.27,0.43
Sheffield United,Everton,Premier_League,2020-07-20,0,1,0.47,0.62,8,5,0,2,5,3,11.4,13.06,1.06,1.52
Arsenal,Leicester,Premier_League,2020-07-07,1,1,1.29,1.0,11,13,7,5,8,5,17.11,8.0,1.61,1.08
Parma Calcio 1913,Sampdoria,Serie_A,2020-07-19,2,3,1.15,1.65,17,20,5,4,7,11,10.72,9.17,0.96,1.78
Arsenal Tula,Dinamo Moscow,RFPL,2020-08-22,2,0,1.62,0.8,12,7,4,3,4,3,13.0,6.73,2.11,0.62
Levante,Getafe,La_Liga,2020-07-19,1,0,2.59,1.73,14,13,5,4,3,8,6.18,7.21,2.03,0.75
Everton,Southampton,Premier_League,2020-07-09,1,1,0.67,2.3,11,17,4,4,2,13,14.41,6.93,0.27,2.6
Watford,Manchester City,Premier_League,2020-07-21,0,4,0.13,3.74,2,26,0,10,2,9,21.0,4.48,0.01,2.99
Espanyol,Leganes,La_Liga,2020-07-05,0,1,0.71,0.42,7,4,2,2,2,3,5.22,14.19,1.63,0.95
Watford,Newcastle United,Premier_League,2020-07-11,2,1,3.13,1.49,17,8,5,4,11,1,6.25,12.08,2.5,0.35
Barcelona,Atletico Madrid,La_Liga,2020-06-30,2,2,1.81,1.78,12,10,5,3,4,3,8.59,16.48,1.33,1.35
AC Milan,Parma Calcio 1913,Serie_A,2020-07-15,3,1,1.77,0.71,27,12,7,3,14,6,8.7,16.35,2.15,0.63
Villarreal,Barcelona,La_Liga,2020-07-05,1,4,0.96,2.75,10,18,4,12,8,22,29.22,10.32,0.33,2.53
Sevilla,Valencia,La_Liga,2020-07-19,1,0,0.73,0.3,16,8,4,2,10,2,8.27,27.25,1.71,0.86
