Unnamed: 0,AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
32,,,,,,,,,,,,,,Bordeaux,,,,"4:00pm, Sunday 1st November 2020.",0,0,,431445,,,,,,,,,,,,,,Monaco,,, French Ligue 1
33,,,,,,,,,,,,,,Lyon,,,,"8:00pm, Sunday 1st November 2020.",0,0,,431443,,,,,,,,,,,,,,Lille,,, French Ligue 1
34,,,,,,,,,,,,,,Strasbourg,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431448,,,,,,,,,,,,,,Reims,,, French Ligue 1
35,,,,,,,,,,,,,,Metz,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431447,,,,,,,,,,,,,,Nimes,,, French Ligue 1
36,,,,,,,,,,,,,,Nice,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431441,,,,,,,,,,,,,,Angers,,, French Ligue 1
37,,,,,,,,,,,,,,Montpellier,,,,"12:00pm, Sunday 1st November 2020.",0,0,,431450,,,,,,,,,,,,,,St Etienne,,, French Ligue 1
38,,,,,,,,,,,,,,Paris Saint-Germain,,,,"8:00pm, Saturday 31st October 2020.",0,0,,431446,,,,,,,,,,,,,,Nantes,,, French Ligue 1
39,,,,,,,,,,,,,,Lorient,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431442,,,,,,,,,,,,,,Dijon,,, French Ligue 1
40,,,,,,,,,,,,,,Brest,,,,"4:00pm, Saturday 31st October 2020.",0,0,,431449,,,,,,,,,,,,,,Rennes,,, French Ligue 1
41,,,,,,,,,,,,,,Lille,,,,"4:00pm, Sunday 25th October 2020.",0,0,,431438,,,,,,,,,,,,,,Nice,,, French Ligue 1
42,,,,,,,,,,,,,,RC Lens,,,,"8:00pm, Friday 30th October 2020.",0,0,,431444,,,,,,,,,,,,,,Marseille,,, French Ligue 1
43,,,,,,,,,,,,,,Monaco,,,,"8:00pm, Sunday 25th October 2020.",0,0,,431435,,,,,,,,,,,,,,Lyon,,, French Ligue 1
44,,,,,,,,,,,,,,Reims,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431437,,,,,,,,,,,,,,Montpellier,,, French Ligue 1
45,,,,,,,,,,,,,,St Etienne,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431436,,,,,,,,,,,,,,Metz,,, French Ligue 1
46,,,,,,,,,,,,,,Nimes,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431431,,,,,,,,,,,,,,Bordeaux,,, French Ligue 1
47,,,,,,,,,,,,,,Strasbourg,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431432,,,,,,,,,,,,,,Brest,,, French Ligue 1
48,,,,,,,,,,,,,,Nantes,,,,"12:00pm, Sunday 25th October 2020.",0,0,,431433,,,,,,,,,,,,,,RC Lens,,, French Ligue 1
49,,,,,,,,,,,,,,Dijon,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431439,,,,,,,,,,,,,,Paris Saint-Germain,,, French Ligue 1
50,,,,,,,,,,,,,,Inter Milan,,,,"5:00pm, Saturday 24th October 2020.",0,0,,434368,,,,,,,,,,,,,,Genoa,,, Italian Serie A
51,,,,,,,,,,,,,,Marseille,,,,"4:00pm, Saturday 24th October 2020.",0,0,,431434,,,,,,,,,,,,,,Lorient,,, French Ligue 1
52,,,,,,,,,,,,,,Sampdoria,,,,"2:00pm, Saturday 24th October 2020.",0,0,,434364,,,,,,,,,,,,,,Atalanta,,, Italian Serie A
53,,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425649,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
55,,,,,,,,,,,,,,Celtic,,,,"12:00pm, Sunday 8th November 2020.",0,0,,425644,,,,,,,,,,,,,,Motherwell,,, Scottish Premiership
56,,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Sunday 8th November 2020.",0,0,,425645,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
57,,,,,,,,,,,,,,Kilmarnock,,,,"7:45pm, Friday 6th November 2020.",0,0,,425647,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
58,,,,,,,,,,,,,,Dundee United,,,,"7:45pm, Friday 6th November 2020.",0,0,,425648,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
59,,,,,,,,,,,,,,Hibernian,,,,"7:45pm, Friday 6th November 2020.",0,0,,425643,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
60,,,,,,,,,,,,,,Livingston,,,,"7:45pm, Friday 6th November 2020.",0,0,,425646,,,,,,,,,,,,,,Ross County,,, Scottish Premiership
61,,,,,,,,,,,,,,Rangers,,,,"12:00pm, Sunday 1st November 2020.",0,0,,425641,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
62,,,,,,,,,,,,,,Motherwell,,,,"3:00pm, Saturday 31st October 2020.",0,0,,425642,,,,,,,,,,,,,,Livingston,,, Scottish Premiership
63,,,,,,,,,,,,,,St. Johnstone,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425640,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
64,,,,,,,,,,,,,,Torino,,,,"7:45pm, Friday 23rd October 2020.",0,0,,434373,,,,,,,,,,,,,,Sassuolo,,, Italian Serie A
65,,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 31st October 2020.",0,0,,425638,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
66,,,,,,,,,,,,,,Celtic,,,,"12:00pm, Sunday 25th October 2020.",0,0,,425631,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
67,,,,,,,,,,,,,,St Mirren,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425637,,,,,,,,,,,,,,Celtic,,, Scottish Premiership
68,,,,,,,,,,,,,,Livingston,,,,"3:00pm, Sunday 25th October 2020.",0,0,,425634,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
69,,,,,,,,,,,,,,Aberdeen,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425639,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
70,,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425633,,,,,,,,,,,,,,Motherwell,,, Scottish Premiership
71,,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425636,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
72,,,,,,,,,,,,,,Dundee United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425635,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
73,,,,,,,,,,,,,,Hibernian,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425632,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
74,,,,,,,,,,,,,,Preston North End,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429780,,,,,,,,,,,,,,Huddersfield Town,,, Sky Bet Championship
75,,,,,,,,,,,,,,Middlesbrough,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429778,,,,,,,,,,,,,,Cardiff City,,, Sky Bet Championship
76,,,,,,,,,,,,,,Hamilton Academical,,,,"7:00pm, Tuesday 20th October 2020.",0,0,,425578,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
77,,,,,,,,,,,,,,Bournemouth,,,,"12:30pm, Saturday 24th October 2020.",0,0,,429788,,,,,,,,,,,,,,Watford,,, Sky Bet Championship
78,,,,,,,,,,,,,,Blackburn Rovers,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429779,,,,,,,,,,,,,,Coventry City,,, Sky Bet Championship
79,,,,,,,,,,,,,,Derby County,,,,"7:45pm, Friday 23rd October 2020.",0,0,,429783,,,,,,,,,,,,,,Nottingham Forest,,, Sky Bet Championship
80,,,,,,,,,,,,,,Swansea City,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429777,,,,,,,,,,,,,,Bristol City,,, Sky Bet Championship
81,,,,,,,,,,,,,,Blackburn Rovers,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429776,,,,,,,,,,,,,,Watford,,, Sky Bet Championship
82,,,,,,,,,,,,,,Barnsley,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429775,,,,,,,,,,,,,,Stoke City,,, Sky Bet Championship
83,,,,,,,,,,,,,,Brentford,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429774,,,,,,,,,,,,,,Sheffield Wednesday,,, Sky Bet Championship
84,,,,,,,,,,,,,,Preston North End,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429773,,,,,,,,,,,,,,Queens Park Rangers,,, Sky Bet Championship
85,,,,,,,,,,,,,,Bournemouth,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429771,,,,,,,,,,,,,,Cardiff City,,, Sky Bet Championship
86,,,,,,,,,,,,,,Wycombe Wanderers,,,,"8:00pm, Tuesday 20th October 2020.",0,0,,429770,,,,,,,,,,,,,,Reading,,, Sky Bet Championship
87,,,,,,,,,,,,,,Birmingham City,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429768,,,,,,,,,,,,,,Norwich City,,, Sky Bet Championship
88,,,,,,,,,,,,,,Rotherham United,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429769,,,,,,,,,,,,,,Nottingham Forest,,, Sky Bet Championship
89,,,,,,,,,,,,,,Derby County,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429772,,,,,,,,,,,,,,Huddersfield Town,,, Sky Bet Championship
90,,,,,,,,,,,,,,Swansea City,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429766,,,,,,,,,,,,,,Coventry City,,, Sky Bet Championship
91,,,,,,,,,,,,,,Luton Town,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429767,,,,,,,,,,,,,,Millwall,,, Sky Bet Championship
92,,,,,,,,,,,,,,Middlesbrough,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429765,,,,,,,,,,,,,,Bristol City,,, Sky Bet Championship
93,,,,,,,,,,,,,,Brighton and Hove Albion,,,,"7:15pm, Sunday 1st November 2020.",0,0,,428905,,,,,,,,,,,,,,Tottenham Hotspur,,, Premier League
94,,,,,,,,,,,,,,Arsenal,,,,"4:30pm, Sunday 1st November 2020.",0,0,,428902,,,,,,,,,,,,,,Manchester United,,, Premier League
95,,,,,,,,,,,,,,Everton,,,,"2:00pm, Sunday 1st November 2020.",0,0,,428903,,,,,,,,,,,,,,Newcastle United,,, Premier League
96,,,,,,,,,,,,,,Chelsea,,,,"3:00pm, Saturday 31st October 2020.",0,0,,428898,,,,,,,,,,,,,,Burnley,,, Premier League
97,,,,,,,,,,,,,,Crystal Palace,,,,"8:00pm, Friday 30th October 2020.",0,0,,428906,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
98,,,,,,,,,,,,,,Manchester City,,,,"12:30pm, Saturday 31st October 2020.",0,0,,428904,,,,,,,,,,,,,,Sheffield United,,, Premier League
99,,,,,,,,,,,,,,West Ham United,,,,"5:30pm, Saturday 31st October 2020.",0,0,,428901,,,,,,,,,,,,,,Liverpool,,, Premier League
100,,,,,,,,,,,,,,Tottenham Hotspur,,,,"8:00pm, Monday 26th October 2020.",0,0,,428890,,,,,,,,,,,,,,Burnley,,, Premier League
101,,,,,,,,,,,,,,Southampton,,,,"12:00pm, Sunday 1st November 2020.",0,0,,428897,,,,,,,,,,,,,,Aston Villa,,, Premier League
102,,,,,,,,,,,,,,Newcastle United,,,,"4:30pm, Sunday 25th October 2020.",0,0,,428896,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
103,,,,,,,,,,,,,,West Bromwich Albion,,,,"5:30pm, Monday 26th October 2020.",0,0,,428889,,,,,,,,,,,,,,Brighton and Hove Albion,,, Premier League
104,,,,,,,,,,,,,,Chelsea,,,,"5:30pm, Saturday 24th October 2020.",0,0,,428893,,,,,,,,,,,,,,Manchester United,,, Premier League
105,,,,,,,,,,,,,,Leicester City,,,,"7:15pm, Sunday 25th October 2020.",0,0,,428887,,,,,,,,,,,,,,Arsenal,,, Premier League
106,,,,,,,,,,,,,,Sheffield United,,,,"8:00pm, Saturday 24th October 2020.",0,0,,428892,,,,,,,,,,,,,,Liverpool,,, Premier League
107,,,,,,,,,,,,,,Leeds United,,,,"8:00pm, Friday 23rd October 2020.",0,0,,428888,,,,,,,,,,,,,,Aston Villa,,, Premier League
108,,,,,,,,,,,,,,Everton,,,,"2:00pm, Sunday 25th October 2020.",0,0,,428894,,,,,,,,,,,,,,Southampton,,, Premier League
109,,,,,,,,,,,,,,Crystal Palace,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428891,,,,,,,,,,,,,,Fulham,,, Premier League
110,,,,,,,,,,,,,,Manchester City,,,,"12:30pm, Saturday 24th October 2020.",0,0,,428895,,,,,,,,,,,,,,West Ham United,,, Premier League
112,,,,,,,,,,,,,,RKC Waalwijk,,,,"7:00pm, Sunday 1st November 2020.",0,0,,431795,,,,,,,,,,,,,,AZ Alkmaar,,, Dutch Eredivisie
113,,,,,,,,,,,,,,ADO Den Haag,,,,"3:45pm, Sunday 1st November 2020.",0,0,,431801,,,,,,,,,,,,,,PSV Eindhoven,,, Dutch Eredivisie
115,,,,,,,,,,,,,,Heerenveen,,,,"1:30pm, Sunday 1st November 2020.",0,0,,431802,,,,,,,,,,,,,,Sparta Rotterdam,,, Dutch Eredivisie
116,,,,,,,,,,,,,,PEC Zwolle,,,,"7:00pm, Friday 6th November 2020.",0,0,,431804,,,,,,,,,,,,,,Fortuna Sittard,,, Dutch Eredivisie
117,,,,,,,,,,,,,,Feyenoord,,,,"1:30pm, Sunday 1st November 2020.",0,0,,431799,,,,,,,,,,,,,,Emmen,,, Dutch Eredivisie
118,,,,,,,,,,,,,,FC Utrecht,,,,"11:15am, Sunday 1st November 2020.",0,0,,431800,,,,,,,,,,,,,,Heracles Almelo,,, Dutch Eredivisie
119,,,,,,,,,,,,,,PEC Zwolle,,,,"5:45pm, Saturday 31st October 2020.",0,0,,431798,,,,,,,,,,,,,,FC Twente,,, Dutch Eredivisie
120,,,,,,,,,,,,,,Vitesse Arnhem,,,,"8:00pm, Saturday 31st October 2020.",0,0,,431803,,,,,,,,,,,,,,Willem II,,, Dutch Eredivisie
121,,,,,,,,,,,,,,Fortuna Sittard,,,,"7:00pm, Saturday 31st October 2020.",0,0,,431796,,,,,,,,,,,,,,Ajax,,, Dutch Eredivisie
122,,,,,,,,,,,,,,AZ Alkmaar,,,,"7:00pm, Sunday 25th October 2020.",0,0,,431786,,,,,,,,,,,,,,ADO Den Haag,,, Dutch Eredivisie
123,,,,,,,,,,,,,,VVV-Venlo,,,,"7:00pm, Saturday 31st October 2020.",0,0,,431797,,,,,,,,,,,,,,Groningen,,, Dutch Eredivisie
124,,,,,,,,,,,,,,Feyenoord,,,,"3:45pm, Sunday 25th October 2020.",0,0,,431792,,,,,,,,,,,,,,RKC Waalwijk,,, Dutch Eredivisie
125,,,,,,,,,,,,,,PSV Eindhoven,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431794,,,,,,,,,,,,,,Vitesse Arnhem,,, Dutch Eredivisie
126,,,,,,,,,,,,,,Heracles Almelo,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431793,,,,,,,,,,,,,,Sparta Rotterdam,,, Dutch Eredivisie
127,,,,,,,,,,,,,,Ajax,,,,"3:30pm, Saturday 24th October 2020.",0,0,,431788,,,,,,,,,,,,,,VVV-Venlo,,, Dutch Eredivisie
128,,,,,,,,,,,,,,PEC Zwolle,,,,"4:30pm, Wednesday 21st October 2020.",0,0,,431770,,,,,,,,,,,,,,RKC Waalwijk,,, Dutch Eredivisie
129,,,,,,,,,,,,,,Willem II,,,,"7:00pm, Saturday 24th October 2020.",0,0,,431791,,,,,,,,,,,,,,PEC Zwolle,,, Dutch Eredivisie
130,,,,,,,,,,,,,,FC Twente,,,,"5:45pm, Saturday 24th October 2020.",0,0,,431787,,,,,,,,,,,,,,FC Utrecht,,, Dutch Eredivisie
131,,,,,,,,,,,,,,Emmen,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431789,,,,,,,,,,,,,,Heerenveen,,, Dutch Eredivisie
132,,,,,,,,,,,,,,Arminia Bielefeld,,,,"2:30pm, Saturday 7th November 2020.",0,0,,427499,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
133,,,,,,,,,,,,,,Groningen,,,,"11:15am, Sunday 25th October 2020.",0,0,,431790,,,,,,,,,,,,,,Fortuna Sittard,,, Dutch Eredivisie
134,,,,,,,,,,,,,,Cologne,,,,"7:30pm, Friday 6th November 2020.",0,0,,427505,,,,,,,,,,,,,,Werder Bremen,,, German Bundesliga
135,,,,,,,,,,,,,,RB Leipzig,,,,"5:30pm, Saturday 31st October 2020.",0,0,,427491,,,,,,,,,,,,,,M'gladbach,,, German Bundesliga
136,,,,,,,,,,,,,,Wolfsburg,,,,"5:00pm, Sunday 1st November 2020.",0,0,,427496,,,,,,,,,,,,,,Hertha Berlin,,, German Bundesliga
137,,,,,,,,,,,,,,Werder Bremen,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427493,,,,,,,,,,,,,,Eintracht Frankfurt,,, German Bundesliga
138,,,,,,,,,,,,,,Mainz,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427494,,,,,,,,,,,,,,FC Augsburg,,, German Bundesliga
139,,,,,,,,,,,,,,Bayer Leverkusen,,,,"2:30pm, Sunday 1st November 2020.",0,0,,427497,,,,,,,,,,,,,,SC Freiburg,,, German Bundesliga
140,,,,,,,,,,,,,,Borussia Dortmund,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427492,,,,,,,,,,,,,,Arminia Bielefeld,,, German Bundesliga
141,,,,,,,,,,,,,,Bayern Munich,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427490,,,,,,,,,,,,,,Cologne,,, German Bundesliga
142,,,,,,,,,,,,,,Stuttgart,,,,"7:30pm, Friday 30th October 2020.",0,0,,427495,,,,,,,,,,,,,,Schalke,,, German Bundesliga
143,,,,,,,,,,,,,,FC Augsburg,,,,"7:30pm, Monday 26th October 2020.",0,0,,427483,,,,,,,,,,,,,,Bayer Leverkusen,,, German Bundesliga
144,,,,,,,,,,,,,,Hoffenheim,,,,"5:00pm, Sunday 25th October 2020.",0,0,,427487,,,,,,,,,,,,,,Werder Bremen,,, German Bundesliga
145,,,,,,,,,,,,,,Schalke,,,,"5:30pm, Saturday 24th October 2020.",0,0,,427484,,,,,,,,,,,,,,Borussia Dortmund,,, German Bundesliga
146,,,,,,,,,,,,,,Arminia Bielefeld,,,,"2:30pm, Sunday 25th October 2020.",0,0,,427489,,,,,,,,,,,,,,Wolfsburg,,, German Bundesliga
147,,,,,,,,,,,,,,Hertha Berlin,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427486,,,,,,,,,,,,,,RB Leipzig,,, German Bundesliga
148,,,,,,,,,,,,,,M'gladbach,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427482,,,,,,,,,,,,,,Mainz,,, German Bundesliga
149,,,,,,,,,,,,,,Eintracht Frankfurt,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427485,,,,,,,,,,,,,,Bayern Munich,,, German Bundesliga
150,,,,,,,,,,,,,,SC Freiburg,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427481,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
151,,,,,,,,,,,,,,SD Huesca,,,,"8:00pm, Sunday 25th October 2020.",0,0,,433840,,,,,,,,,,,,,,Real Sociedad,,, Spanish La Liga
152,,,,,,,,,,,,,,Getafe,,,,"8:00pm, Sunday 1st November 2020.",0,0,,433851,,,,,,,,,,,,,,Valencia,,, Spanish La Liga
153,,,,,,,,,,,,,,Granada,,,,"5:30pm, Sunday 25th October 2020.",0,0,,433837,,,,,,,,,,,,,,Getafe,,, Spanish La Liga
154,,,,,,,,,,,,,,Villarreal,,,,"3:00pm, Sunday 25th October 2020.",0,0,,433835,,,,,,,,,,,,,,Cadiz,,, Spanish La Liga
155,,,,,,,,,,,,,,Alaves,,,,"11:00am, Sunday 25th October 2020.",0,0,,433841,,,,,,,,,,,,,,Real Valladolid,,, Spanish La Liga
156,,,,,,,,,,,,,,Real Betis,,,,"8:00pm, Saturday 24th October 2020.",0,0,,433833,,,,,,,,,,,,,,Atletico Madrid,,, Spanish La Liga
157,,,,,,,,,,,,,,Eibar,,,,"5:30pm, Saturday 24th October 2020.",0,0,,433842,,,,,,,,,,,,,,Sevilla,,, Spanish La Liga
158,,,,,,,,,,,,,,Real Madrid,,,,"3:00pm, Saturday 24th October 2020.",0,0,,433834,,,,,,,,,,,,,,Barcelona,,, Spanish La Liga
159,,,,,,,,,,,,,,Athletic Bilbao,,,,"12:00pm, Saturday 24th October 2020.",0,0,,433839,,,,,,,,,,,,,,Osasuna,,, Spanish La Liga
