AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,Hibernian,,,,"7:45pm, Friday 6th November 2020.",0,0,,425643,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
,,,,,,,,,,,,,Rennes,,,,"6:00pm, Friday 16th October 2020.",0,0,,431422,,,,,,,,,,,,,,Dijon,,, French Ligue 1
,,,,,,,,,,,,,Atalanta,,,,"2:00pm, Saturday 17th October 2020.",0,0,,434357,,,,,,,,,,,,,,Napoli,,, Italian Serie A
,,,,,,,,,,,,,Torino,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434373,,,,,,,,,,,,,,Sassuolo,,, Italian Serie A
,,,,,,,,,,,,,Bologna,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434370,,,,,,,,,,,,,,Lazio,,, Italian Serie A
,,,,,,,,,,,,,Spezia,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434372,,,,,,,,,,,,,,Parma,,, Italian Serie A
,,,,,,,,,,,,,Inter Milan,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434368,,,,,,,,,,,,,,Genoa,,, Italian Serie A
,,,,,,,,,,,,,Verona,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434369,,,,,,,,,,,,,,Juventus,,, Italian Serie A
,,,,,,,,,,,,,Udinese,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434367,,,,,,,,,,,,,,Fiorentina,,, Italian Serie A
,,,,,,,,,,,,,Roma,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434371,,,,,,,,,,,,,,AC Milan,,, Italian Serie A
,,,,,,,,,,,,,Napoli,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434365,,,,,,,,,,,,,,Benevento,,, Italian Serie A
,,,,,,,,,,,,,Crotone,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434366,,,,,,,,,,,,,,Cagliari,,, Italian Serie A
,,,,,,,,,,,,,Genoa,,,,"2:00pm, Sunday 18th October 2020.",0,0,,434363,,,,,,,,,,,,,,Verona,,, Italian Serie A
,,,,,,,,,,,,,Sampdoria,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434364,,,,,,,,,,,,,,Atalanta,,, Italian Serie A
,,,,,,,,,,,,,Benevento,,,,"7:45pm, Sunday 18th October 2020.",0,0,,434358,,,,,,,,,,,,,,Roma,,, Italian Serie A
,,,,,,,,,,,,,Cagliari,,,,"2:00pm, Sunday 18th October 2020.",0,0,,434361,,,,,,,,,,,,,,Torino,,, Italian Serie A
,,,,,,,,,,,,,Parma,,,,"5:00pm, Sunday 18th October 2020.",0,0,,434362,,,,,,,,,,,,,,Udinese,,, Italian Serie A
,,,,,,,,,,,,,Sassuolo,,,,"11:30am, Sunday 18th October 2020.",0,0,,434354,,,,,,,,,,,,,,Bologna,,, Italian Serie A
,,,,,,,,,,,,,Juventus,,,,"7:45pm, Saturday 17th October 2020.",0,0,,434355,,,,,,,,,,,,,,Crotone,,, Italian Serie A
,,,,,,,,,,,,,Fiorentina,,,,"2:00pm, Sunday 18th October 2020.",0,0,,434360,,,,,,,,,,,,,,Spezia,,, Italian Serie A
,,,,,,,,,,,,,Lazio,,,,"5:00pm, Saturday 17th October 2020.",0,0,,434359,,,,,,,,,,,,,,Sampdoria,,, Italian Serie A
,,,,,,,,,,,,,Lille,,,,"4:00pm, Sunday 25th October 2020.",0,0,,431438,,,,,,,,,,,,,,Nice,,, French Ligue 1
,,,,,,,,,,,,,AC Milan,,,,"5:00pm, Saturday 17th October 2020.",0,0,,434356,,,,,,,,,,,,,,Inter Milan,,, Italian Serie A
,,,,,,,,,,,,,Monaco,,,,"8:00pm, Sunday 25th October 2020.",0,0,,431435,,,,,,,,,,,,,,Lyon,,, French Ligue 1
,,,,,,,,,,,,,Reims,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431437,,,,,,,,,,,,,,Montpellier,,, French Ligue 1
,,,,,,,,,,,,,St Etienne,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431436,,,,,,,,,,,,,,Metz,,, French Ligue 1
,,,,,,,,,,,,,Nimes,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431431,,,,,,,,,,,,,,Bordeaux,,, French Ligue 1
,,,,,,,,,,,,,Strasbourg,,,,"2:00pm, Sunday 25th October 2020.",0,0,,431432,,,,,,,,,,,,,,Brest,,, French Ligue 1
,,,,,,,,,,,,,Dijon,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431439,,,,,,,,,,,,,,Paris Saint-Germain,,, French Ligue 1
,,,,,,,,,,,,,Nantes,,,,"12:00pm, Sunday 25th October 2020.",0,0,,431433,,,,,,,,,,,,,,RC Lens,,, French Ligue 1
,,,,,,,,,,,,,Marseille,,,,"4:00pm, Saturday 24th October 2020.",0,0,,431434,,,,,,,,,,,,,,Lorient,,, French Ligue 1
,,,,,,,,,,,,,RC Lens,,,,"8:00pm, Sunday 18th October 2020.",0,0,,431423,,,,,,,,,,,,,,Lille,,, French Ligue 1
,,,,,,,,,,,,,Angers,,,,"8:00pm, Friday 23rd October 2020.",0,0,,431440,,,,,,,,,,,,,,Rennes,,, French Ligue 1
,,,,,,,,,,,,,Nice,,,,"4:00pm, Sunday 18th October 2020.",0,0,,431429,,,,,,,,,,,,,,St Etienne,,, French Ligue 1
,,,,,,,,,,,,,Brest,,,,"2:00pm, Sunday 18th October 2020.",0,0,,431426,,,,,,,,,,,,,,Nantes,,, French Ligue 1
,,,,,,,,,,,,,Metz,,,,"2:00pm, Sunday 18th October 2020.",0,0,,431421,,,,,,,,,,,,,,Angers,,, French Ligue 1
,,,,,,,,,,,,,Montpellier,,,,"2:00pm, Sunday 18th October 2020.",0,0,,431425,,,,,,,,,,,,,,Monaco,,, French Ligue 1
,,,,,,,,,,,,,Lyon,,,,"12:00pm, Sunday 18th October 2020.",0,0,,431430,,,,,,,,,,,,,,Strasbourg,,, French Ligue 1
,,,,,,,,,,,,,Lorient,,,,"4:00pm, Saturday 17th October 2020.",0,0,,431428,,,,,,,,,,,,,,Reims,,, French Ligue 1
,,,,,,,,,,,,,Paris Saint-Germain,,,,"8:00pm, Friday 16th October 2020.",0,0,,431427,,,,,,,,,,,,,,Nimes,,, French Ligue 1
,,,,,,,,,,,,,Bordeaux,,,,"8:00pm, Saturday 17th October 2020.",0,0,,431424,,,,,,,,,,,,,,Marseille,,, French Ligue 1
,,,,,,,,,,,,,Bournemouth,,,,"7:45pm, Wednesday 21st October 2020.",0,0,,429771,,,,,,,,,,,,,,Cardiff City,,, Sky Bet Championship
,,,,,,,,,,,,,Wycombe Wanderers,,,,"8:00pm, Tuesday 20th October 2020.",0,0,,429770,,,,,,,,,,,,,,Reading,,, Sky Bet Championship
,,,,,,,,,,,,,Birmingham City,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429768,,,,,,,,,,,,,,Norwich City,,, Sky Bet Championship
,,,,,,,,,,,,,Rotherham United,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429769,,,,,,,,,,,,,,Nottingham Forest,,, Sky Bet Championship
,,,,,,,,,,,,,Luton Town,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429767,,,,,,,,,,,,,,Millwall,,, Sky Bet Championship
,,,,,,,,,,,,,Swansea City,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429766,,,,,,,,,,,,,,Coventry City,,, Sky Bet Championship
,,,,,,,,,,,,,Derby County,,,,"7:45pm, Tuesday 20th October 2020.",0,0,,429772,,,,,,,,,,,,,,Huddersfield Town,,, Sky Bet Championship
,,,,,,,,,,,,,Middlesbrough,,,,"7:00pm, Tuesday 20th October 2020.",0,0,,429765,,,,,,,,,,,,,,Bristol City,,, Sky Bet Championship
,,,,,,,,,,,,,Millwall,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429764,,,,,,,,,,,,,,Wycombe Wanderers,,, Sky Bet Championship
,,,,,,,,,,,,,Huddersfield Town,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429763,,,,,,,,,,,,,,Swansea City,,, Sky Bet Championship
,,,,,,,,,,,,,Cardiff City,,,,"12:00pm, Sunday 18th October 2020.",0,0,,429761,,,,,,,,,,,,,,Preston North End,,, Sky Bet Championship
,,,,,,,,,,,,,Norwich City,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429762,,,,,,,,,,,,,,Rotherham United,,, Sky Bet Championship
,,,,,,,,,,,,,Reading,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429760,,,,,,,,,,,,,,Middlesbrough,,, Sky Bet Championship
,,,,,,,,,,,,,Stoke City,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429759,,,,,,,,,,,,,,Luton Town,,, Sky Bet Championship
,,,,,,,,,,,,,Nottingham Forest,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429755,,,,,,,,,,,,,,Blackburn Rovers,,, Sky Bet Championship
,,,,,,,,,,,,,Coventry City,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429757,,,,,,,,,,,,,,Brentford,,, Sky Bet Championship
,,,,,,,,,,,,,Queens Park Rangers,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429756,,,,,,,,,,,,,,Bournemouth,,, Sky Bet Championship
,,,,,,,,,,,,,Sheffield Wednesday,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429754,,,,,,,,,,,,,,Birmingham City,,, Sky Bet Championship
,,,,,,,,,,,,,Bristol City,,,,"3:00pm, Saturday 17th October 2020.",0,0,,429753,,,,,,,,,,,,,,Barnsley,,, Sky Bet Championship
,,,,,,,,,,,,,Watford,,,,"7:45pm, Friday 16th October 2020.",0,0,,429758,,,,,,,,,,,,,,Derby County,,, Sky Bet Championship
,,,,,,,,,,,,,Athletic Bilbao,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433839,,,,,,,,,,,,,,Osasuna,,, Spanish La Liga
,,,,,,,,,,,,,Eibar,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433842,,,,,,,,,,,,,,Sevilla,,, Spanish La Liga
,,,,,,,,,,,,,Alaves,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433841,,,,,,,,,,,,,,Real Valladolid,,, Spanish La Liga
,,,,,,,,,,,,,SD Huesca,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433840,,,,,,,,,,,,,,Real Sociedad,,, Spanish La Liga
,,,,,,,,,,,,,Celta Vigo,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433838,,,,,,,,,,,,,,Levante,,, Spanish La Liga
,,,,,,,,,,,,,Granada,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433837,,,,,,,,,,,,,,Getafe,,, Spanish La Liga
,,,,,,,,,,,,,Villarreal,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433835,,,,,,,,,,,,,,Cadiz,,, Spanish La Liga
,,,,,,,,,,,,,Valencia,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433836,,,,,,,,,,,,,,Elche,,, Spanish La Liga
,,,,,,,,,,,,,Real Madrid,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433834,,,,,,,,,,,,,,Barcelona,,, Spanish La Liga
,,,,,,,,,,,,,Real Betis,,,,"4:00pm, Sunday 25th October 2020.",0,0,,433833,,,,,,,,,,,,,,Atletico Madrid,,, Spanish La Liga
,,,,,,,,,,,,,Real Valladolid,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433829,,,,,,,,,,,,,,SD Huesca,,, Spanish La Liga
,,,,,,,,,,,,,Valencia,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433832,,,,,,,,,,,,,,Villarreal,,, Spanish La Liga
,,,,,,,,,,,,,Cadiz,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433831,,,,,,,,,,,,,,Real Madrid,,, Spanish La Liga
,,,,,,,,,,,,,Real Sociedad,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433830,,,,,,,,,,,,,,Real Betis,,, Spanish La Liga
,,,,,,,,,,,,,Sevilla,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433828,,,,,,,,,,,,,,Granada,,, Spanish La Liga
,,,,,,,,,,,,,Atletico Madrid,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433825,,,,,,,,,,,,,,Celta Vigo,,, Spanish La Liga
,,,,,,,,,,,,,Barcelona,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433827,,,,,,,,,,,,,,Getafe,,, Spanish La Liga
,,,,,,,,,,,,,Osasuna,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433826,,,,,,,,,,,,,,Eibar,,, Spanish La Liga
,,,,,,,,,,,,,Levante,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433824,,,,,,,,,,,,,,Athletic Bilbao,,, Spanish La Liga
,,,,,,,,,,,,,Elche,,,,"4:00pm, Sunday 18th October 2020.",0,0,,433823,,,,,,,,,,,,,,Alaves,,, Spanish La Liga
,,,,,,,,,,,,,Fortuna Sittard,,,,"5:45pm, Saturday 31st October 2020.",0,0,,431796,,,,,,,,,,,,,,Ajax,,, Dutch Eredivisie
,,,,,,,,,,,,,Heracles Almelo,,,,"3:45pm, Sunday 25th October 2020.",0,0,,431793,,,,,,,,,,,,,,Sparta Rotterdam,,, Dutch Eredivisie
,,,,,,,,,,,,,PEC Zwolle,,,,"7:00pm, Saturday 31st October 2020.",0,0,,431798,,,,,,,,,,,,,,FC Twente,,, Dutch Eredivisie
,,,,,,,,,,,,,Willem II,,,,"3:45pm, Sunday 25th October 2020.",0,0,,431791,,,,,,,,,,,,,,PEC Zwolle,,, Dutch Eredivisie
,,,,,,,,,,,,,PSV Eindhoven,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431794,,,,,,,,,,,,,,Vitesse Arnhem,,, Dutch Eredivisie
,,,,,,,,,,,,,AZ Alkmaar,,,,"7:00pm, Saturday 24th October 2020.",0,0,,431786,,,,,,,,,,,,,,ADO Den Haag,,, Dutch Eredivisie
,,,,,,,,,,,,,Emmen,,,,"8:00pm, Saturday 24th October 2020.",0,0,,431789,,,,,,,,,,,,,,Heerenveen,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Twente,,,,"5:45pm, Saturday 24th October 2020.",0,0,,431787,,,,,,,,,,,,,,FC Utrecht,,, Dutch Eredivisie
,,,,,,,,,,,,,Groningen,,,,"1:30pm, Sunday 25th October 2020.",0,0,,431790,,,,,,,,,,,,,,Fortuna Sittard,,, Dutch Eredivisie
,,,,,,,,,,,,,Feyenoord,,,,"11:15am, Sunday 25th October 2020.",0,0,,431792,,,,,,,,,,,,,,RKC Waalwijk,,, Dutch Eredivisie
,,,,,,,,,,,,,PSV Eindhoven,,,,"3:45pm, Sunday 18th October 2020.",0,0,,431785,,,,,,,,,,,,,,PEC Zwolle,,, Dutch Eredivisie
,,,,,,,,,,,,,Ajax,,,,"3:30pm, Saturday 24th October 2020.",0,0,,431788,,,,,,,,,,,,,,VVV-Venlo,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Utrecht,,,,"3:45pm, Sunday 18th October 2020.",0,0,,431783,,,,,,,,,,,,,,Groningen,,, Dutch Eredivisie
,,,,,,,,,,,,,Sparta Rotterdam,,,,"11:15am, Sunday 18th October 2020.",0,0,,431784,,,,,,,,,,,,,,Feyenoord,,, Dutch Eredivisie
,,,,,,,,,,,,,Vitesse Arnhem,,,,"1:30pm, Sunday 18th October 2020.",0,0,,431781,,,,,,,,,,,,,,ADO Den Haag,,, Dutch Eredivisie
,,,,,,,,,,,,,Fortuna Sittard,,,,"1:30pm, Sunday 18th October 2020.",0,0,,431782,,,,,,,,,,,,,,Emmen,,, Dutch Eredivisie
,,,,,,,,,,,,,Heerenveen,,,,"5:45pm, Saturday 17th October 2020.",0,0,,431778,,,,,,,,,,,,,,Ajax,,, Dutch Eredivisie
,,,,,,,,,,,,,FC Twente,,,,"7:00pm, Saturday 17th October 2020.",0,0,,431780,,,,,,,,,,,,,,Willem II,,, Dutch Eredivisie
,,,,,,,,,,,,,VVV-Venlo,,,,"8:00pm, Saturday 17th October 2020.",0,0,,431777,,,,,,,,,,,,,,AZ Alkmaar,,, Dutch Eredivisie
,,,,,,,,,,,,,Motherwell,,,,"3:00pm, Saturday 31st October 2020.",0,0,,425642,,,,,,,,,,,,,,Livingston,,, Scottish Premiership
,,,,,,,,,,,,,RKC Waalwijk,,,,"7:00pm, Saturday 17th October 2020.",0,0,,431779,,,,,,,,,,,,,,Heracles Almelo,,, Dutch Eredivisie
,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 31st October 2020.",0,0,,425638,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
,,,,,,,,,,,,,Aberdeen,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425639,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
,,,,,,,,,,,,,St Mirren,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425637,,,,,,,,,,,,,,Celtic,,, Scottish Premiership
,,,,,,,,,,,,,St. Johnstone,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425640,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
,,,,,,,,,,,,,Livingston,,,,"3:00pm, Sunday 25th October 2020.",0,0,,425634,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
,,,,,,,,,,,,,Celtic,,,,"3:00pm, Sunday 25th October 2020.",0,0,,425631,,,,,,,,,,,,,,Aberdeen,,, Scottish Premiership
,,,,,,,,,,,,,Dundee United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425635,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425633,,,,,,,,,,,,,,Motherwell,,, Scottish Premiership
,,,,,,,,,,,,,Hibernian,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425632,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 24th October 2020.",0,0,,425636,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
,,,,,,,,,,,,,Motherwell,,,,"3:00pm, Saturday 17th October 2020.",0,0,,425630,,,,,,,,,,,,,,St Mirren,,, Scottish Premiership
,,,,,,,,,,,,,Kilmarnock,,,,"3:00pm, Saturday 17th October 2020.",0,0,,425628,,,,,,,,,,,,,,Livingston,,, Scottish Premiership
,,,,,,,,,,,,,Hibernian,,,,"3:00pm, Saturday 17th October 2020.",0,0,,425629,,,,,,,,,,,,,,Ross County,,, Scottish Premiership
,,,,,,,,,,,,,St. Johnstone,,,,"3:00pm, Saturday 17th October 2020.",0,0,,425627,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
,,,,,,,,,,,,,Aberdeen,,,,"3:00pm, Saturday 17th October 2020.",0,0,,425626,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
,,,,,,,,,,,,,Rangers,,,,"12:30pm, Saturday 17th October 2020.",0,0,,425625,,,,,,,,,,,,,,Celtic,,, Scottish Premiership
,,,,,,,,,,,,,Stuttgart,,,,"7:30pm, Friday 30th October 2020.",0,0,,427495,,,,,,,,,,,,,,Schalke,,, German Bundesliga
,,,,,,,,,,,,,Borussia Dortmund,,,,"2:30pm, Saturday 31st October 2020.",0,0,,427492,,,,,,,,,,,,,,Arminia Bielefeld,,, German Bundesliga
,,,,,,,,,,,,,Arminia Bielefeld,,,,"2:30pm, Sunday 25th October 2020.",0,0,,427489,,,,,,,,,,,,,,Wolfsburg,,, German Bundesliga
,,,,,,,,,,,,,Hoffenheim,,,,"5:00pm, Sunday 25th October 2020.",0,0,,427487,,,,,,,,,,,,,,Werder Bremen,,, German Bundesliga
,,,,,,,,,,,,,FC Augsburg,,,,"7:30pm, Monday 26th October 2020.",0,0,,427483,,,,,,,,,,,,,,Bayer Leverkusen,,, German Bundesliga
,,,,,,,,,,,,,Schalke,,,,"5:30pm, Saturday 24th October 2020.",0,0,,427484,,,,,,,,,,,,,,Borussia Dortmund,,, German Bundesliga
,,,,,,,,,,,,,Hertha Berlin,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427486,,,,,,,,,,,,,,RB Leipzig,,, German Bundesliga
,,,,,,,,,,,,,M'gladbach,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427482,,,,,,,,,,,,,,Mainz,,, German Bundesliga
,,,,,,,,,,,,,Eintracht Frankfurt,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427485,,,,,,,,,,,,,,Bayern Munich,,, German Bundesliga
,,,,,,,,,,,,,SC Freiburg,,,,"2:30pm, Saturday 24th October 2020.",0,0,,427481,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
,,,,,,,,,,,,,Cologne,,,,"7:30pm, Friday 23rd October 2020.",0,0,,427488,,,,,,,,,,,,,,Stuttgart,,, German Bundesliga
,,,,,,,,,,,,,1. FC Union Berlin,,,,"5:00pm, Sunday 18th October 2020.",0,0,,427477,,,,,,,,,,,,,,Schalke,,, German Bundesliga
,,,,,,,,,,,,,Bayern Munich,,,,"5:30pm, Saturday 17th October 2020.",0,0,,427475,,,,,,,,,,,,,,Arminia Bielefeld,,, German Bundesliga
,,,,,,,,,,,,,Borussia Dortmund,,,,"2:30pm, Saturday 17th October 2020.",0,0,,427480,,,,,,,,,,,,,,Hoffenheim,,, German Bundesliga
,,,,,,,,,,,,,Werder Bremen,,,,"2:30pm, Saturday 17th October 2020.",0,0,,427479,,,,,,,,,,,,,,SC Freiburg,,, German Bundesliga
,,,,,,,,,,,,,Bayer Leverkusen,,,,"2:30pm, Saturday 17th October 2020.",0,0,,427473,,,,,,,,,,,,,,Mainz,,, German Bundesliga
,,,,,,,,,,,,,Wolfsburg,,,,"7:30pm, Saturday 17th October 2020.",0,0,,427474,,,,,,,,,,,,,,M'gladbach,,, German Bundesliga
,,,,,,,,,,,,,Eintracht Frankfurt,,,,"2:30pm, Sunday 18th October 2020.",0,0,,427472,,,,,,,,,,,,,,Cologne,,, German Bundesliga
,,,,,,,,,,,,,Stuttgart,,,,"2:30pm, Saturday 17th October 2020.",0,0,,427478,,,,,,,,,,,,,,Hertha Berlin,,, German Bundesliga
,,,,,,,,,,,,,Wolverhampton Wanderers,,,,"8:00pm, Monday 19th October 2020.",0,0,,428880,,,,,,,,,,,,,,Leeds United,,, Premier League
,,,,,,,,,,,,,Arsenal,,,,"5:30pm, Saturday 17th October 2020.",0,0,,428882,,,,,,,,,,,,,,Manchester City,,, Premier League
,,,,,,,,,,,,,RB Leipzig,,,,"2:30pm, Saturday 17th October 2020.",0,0,,427476,,,,,,,,,,,,,,FC Augsburg,,, German Bundesliga
,,,,,,,,,,,,,Burnley,,,,"3:00pm, Saturday 17th October 2020.",0,0,,428886,,,,,,,,,,,,,,West Bromwich Albion,,, Premier League
,,,,,,,,,,,,,Brighton and Hove Albion,,,,"2:00pm, Sunday 18th October 2020.",0,0,,428878,,,,,,,,,,,,,,Crystal Palace,,, Premier League
,,,,,,,,,,,,,West Ham United,,,,"4:30pm, Sunday 18th October 2020.",0,0,,428885,,,,,,,,,,,,,,Tottenham Hotspur,,, Premier League
,,,,,,,,,,,,,Fulham,,,,"3:00pm, Saturday 17th October 2020.",0,0,,428884,,,,,,,,,,,,,,Sheffield United,,, Premier League
,,,,,,,,,,,,,Manchester United,,,,"3:00pm, Saturday 17th October 2020.",0,0,,428883,,,,,,,,,,,,,,Newcastle United,,, Premier League
,,,,,,,,,,,,,Aston Villa,,,,"3:00pm, Saturday 17th October 2020.",0,0,,428881,,,,,,,,,,,,,,Leicester City,,, Premier League
,,,,,,,,,,,,,Southampton,,,,"3:00pm, Saturday 17th October 2020.",0,0,,428877,,,,,,,,,,,,,,Chelsea,,, Premier League
